trial_id,fault_loc,fault_type,delta_I,delta_dc,delta_tau,delta_phi,OC_conv,OC_sambp,OC_veto,87B_A_conv,87B_A_sambp,87B_A_veto,87L_conv,87L_sambp,87L_veto,87B_B_conv,87B_B_sambp,87B_B_veto,87T_conv,87T_sambp,87T_veto
124,bus_A,3ph,0.03314,-0.09002,-0.15703,-0.52807,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
125,bus_A,3ph,0.14848,-0.1401,0.15761,-0.3046,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
126,bus_A,3ph,-0.1771,-0.126,-0.04614,-0.62254,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
127,bus_A,3ph,-0.0281,0.17877,-0.03447,-0.00984,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
128,bus_A,3ph,0.19951,-0.17081,0.01757,0.76617,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
129,bus_A,3ph,-0.00171,0.05485,0.01868,-0.60433,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
130,bus_A,3ph,0.08645,0.24724,0.17063,0.13614,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
131,bus_A,3ph,-0.059,0.10531,0.17785,0.75105,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
132,bus_A,3ph,-0.08682,0.26141,0.09212,0.58408,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
133,bus_A,3ph,-0.13301,0.28575,0.10141,-0.52383,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
134,bus_A,3ph,0.01605,-0.23308,0.08984,0.14951,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
135,bus_A,3ph,0.03131,0.20834,0.10789,-0.64133,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
136,bus_A,3ph,0.10486,0.02488,-0.12449,-0.24005,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
137,bus_A,3ph,0.00368,0.21531,0.15276,-0.62502,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
138,bus_A,3ph,-0.02314,0.20612,0.04095,0.55789,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
139,bus_A,3ph,0.0389,-0.16618,0.00114,0.02381,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
140,bus_A,3ph,0.15763,-0.08655,-0.106,0.39091,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
141,bus_A,3ph,-0.03217,-0.00939,0.19063,0.27433,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
142,bus_A,3ph,0.06874,0.26033,0.08652,0.71435,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
143,bus_A,3ph,0.05332,0.05245,-0.08631,-0.42286,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
144,bus_A,3ph,0.0126,-0.26457,-0.13268,0.32731,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
