feeder,fault_bus,alpha,Rx,snrI,observation,n_real_obs,rmse_alpha_pct_proper,rmse_alpha_pct_dual,rmse_Rx_pct_proper,rmse_Rx_pct_dual,consistency_ratio,geary_hinkley_valid
IEEE_34,bus_13,0.5,2000.0,50.0,upper,12,251.69976090043664,251.69976090043664,5.573824768499903,5.573824768499903,1.0,1
IEEE_34,bus_13,0.5,2000.0,50.0,diagonal,6,665.8524924911993,665.8524924911995,16.136588321669677,16.13658832166968,0.9999999999999998,1
IEEE_34,bus_13,0.5,2000.0,inf,full,18,3.2520060246141504e-147,nan,7.81439784294906e-149,nan,nan,1
IEEE_34,bus_13,0.5,2000.0,inf,upper,12,3.541590158485409e-147,nan,8.545398532432189e-149,nan,nan,1
IEEE_34,bus_13,0.5,2000.0,inf,diagonal,6,3.952007578570179e-147,nan,9.577289319647314e-149,nan,nan,1
IEEE_34,bus_13,0.5,5000.0,20.0,full,18,17140.48999800536,17140.48999800536,371.2681519028387,371.2681519028387,1.0,1
IEEE_34,bus_13,0.5,5000.0,20.0,upper,12,19871.850447825775,19871.850447825775,439.70326180050233,439.70326180050233,1.0,1
IEEE_34,bus_13,0.5,5000.0,20.0,diagonal,6,52668.72480941535,52668.72480941535,1274.5237173573535,1274.5237173573535,1.0,1
IEEE_34,bus_13,0.5,5000.0,30.0,full,18,5420.298860503191,5420.298860503191,117.40529826943474,117.40529826943471,1.0,1
IEEE_34,bus_13,0.5,5000.0,30.0,upper,12,6284.030873736647,6284.030873736647,139.0463801894897,139.0463801894897,1.0000000000000002,1
IEEE_34,bus_13,0.5,5000.0,30.0,diagonal,6,16655.313185437022,16655.313185437022,403.03978787539154,403.03978787539154,1.0,1
IEEE_34,bus_13,0.5,5000.0,40.0,full,18,1714.048999800536,1714.048999800536,37.12681519028387,37.12681519028387,1.0,1
IEEE_34,bus_13,0.5,5000.0,40.0,upper,12,1987.1850447825775,1987.1850447825775,43.97032618005024,43.97032618005024,1.0,1
IEEE_34,bus_13,0.5,5000.0,40.0,diagonal,6,5266.8724809415335,5266.8724809415335,127.45237173573531,127.45237173573531,1.0,1
IEEE_34,bus_13,0.5,5000.0,50.0,full,18,542.029886050319,542.029886050319,11.740529826943472,11.74052982694347,1.0,1
IEEE_34,bus_13,0.5,5000.0,50.0,upper,12,628.4030873736646,628.4030873736646,13.904638018948969,13.904638018948969,1.0,1
IEEE_34,bus_13,0.5,5000.0,50.0,diagonal,6,1665.5313185437017,1665.5313185437017,40.30397878753915,40.30397878753915,1.0,1
IEEE_34,bus_13,0.5,5000.0,inf,full,18,8.139423932212613e-147,nan,1.953102101584872e-148,nan,nan,1
IEEE_34,bus_13,0.5,5000.0,inf,upper,12,8.866846728458682e-147,nan,2.1363795615661014e-148,nan,nan,1
IEEE_34,bus_13,0.5,5000.0,inf,diagonal,6,9.898973175614718e-147,nan,2.3953981040552023e-148,nan,nan,1
IEEE_34,bus_16,0.5,100.0,20.0,full,18,473.1025833749386,473.10258337493866,7.438314108015867,7.438314108015867,0.9999999999999998,1
IEEE_34,bus_16,0.5,100.0,20.0,upper,12,561.1997134952762,561.1997134952762,9.27414658903347,9.274146589033471,1.0,1
IEEE_34,bus_16,0.5,100.0,20.0,diagonal,6,1375.9795005218105,1375.9795005218107,28.74997322199335,28.749973221993358,0.9999999999999999,1
IEEE_34,bus_16,0.5,100.0,30.0,full,18,149.60817303745165,149.60817303745165,2.3522014533093856,2.352201453309386,1.0,1
