slip,trip,kappa_n,omega_true,omega_hat,delta_omega,cusum_latency_ms,I_fund_hat
0.03,True,inf,9.42477796076938,0.015400696849932255,9.409377263919447,,0.1843937023204124
0.03,True,41822.47865963794,9.42477796076938,7.436125976451942,1.9886519843174373,,0.3638281544720581
0.03,True,2674072.42380941,9.42477796076938,3.8705711124777666,5.554206848291613,,0.11598325461996428
0.03,True,inf,9.42477796076938,44.539682973859,35.114905013089626,11.566572066161406,1.4359681614380347e-37
0.03,True,6319.617379188786,9.42477796076938,-12.215130708404715,21.639908669174094,,0.4885616959927092
0.03,True,4585194.47425522,9.42477796076938,2.1674398717845165,7.257338088984863,,0.18723824548429657
0.03,True,106.30686728789425,9.42477796076938,-49.974541378237575,59.39931933900695,,0.1781355447692237
0.03,True,inf,9.42477796076938,18.698041239401935,9.273263278632555,,0.15836563856575125
0.03,True,857633.7271715318,9.42477796076938,3.847581060553313,5.577196900216066,,0.2850257843849641
0.03,True,inf,9.42477796076938,114.99999999999999,105.57522203923061,,3.1286441488173813e-38
0.03,True,inf,9.42477796076938,-2.3327924203899015,11.757570381159281,,0.32016211237619147
0.03,True,106687.46332000967,9.42477796076938,6.558286578902399,2.8664913818669806,,0.22755879026861178
0.03,True,1011.8748306875941,9.42477796076938,-24.396308520971132,33.82108648174051,,0.2800831472830223
0.03,True,746.5287526233567,9.42477796076938,30.496333128046825,21.071555167277445,,0.3495979064851525
0.03,True,26174.61546712139,9.42477796076938,7.027593879514586,2.3971840812547933,,0.15303725651686875
0.03,True,inf,9.42477796076938,7.510949876043742,1.9138280847256377,,0.18042104230730593
0.03,True,inf,9.42477796076938,64.65643749887585,55.23165953810647,,3.3218939437258825e-38
0.03,True,262725218.63090914,9.42477796076938,0.8224167416673483,8.60236121910203,,0.26817750101675036
0.03,True,inf,9.42477796076938,114.99999999999999,105.57522203923061,,1.800447375838747e-20
0.03,True,inf,9.42477796076938,13.138581284584804,3.7138033238154247,,6.750400869717111e-29
0.03,True,inf,9.42477796076938,26.550710360479457,17.125932399710077,,0.6824830395167467
0.03,True,123.31187789123132,9.42477796076938,-25.838989152010246,35.263767112779625,,0.2807443571993916
0.03,True,inf,9.42477796076938,-100.13393409718421,109.55871205795358,,3.380913124396158e-27
0.03,True,5041.714059562314,9.42477796076938,-10.141413924038085,19.566191884807466,,0.2304464431409027
0.03,True,200950603.89281484,9.42477796076938,0.8367183277523074,8.588059633017071,,0.22218834304907087
0.03,True,59.956207123792645,9.42477796076938,36.168693810991236,26.743915850221857,,0.15600871206616637
0.03,True,inf,9.42477796076938,114.99999999999989,105.57522203923051,,3.315548005813536e-30
0.03,True,inf,9.42477796076938,44.25269060348542,34.82791264271604,,6.756682979368904e-37
0.03,True,inf,9.42477796076938,114.99999999999999,105.57522203923061,,8.234392372186043e-41
0.03,True,inf,9.42477796076938,40.336051673891546,30.911273713122167,,1.701206913217953e-39
0.03,True,inf,9.42477796076938,-32.61454323179358,42.039321192562966,74.63625914602464,1.1531764848918374e-38
0.03,True,inf,9.42477796076938,1.6885519874115729,7.736225973357806,,0.1665667453868593
0.03,True,4184.022647198162,9.42477796076938,11.584246950062782,2.159468989293403,,0.22921462243021287
0.03,True,inf,9.42477796076938,-90.42821821106872,99.8529961718381,,1.7788477172738443e-36
0.03,True,28.728668628516086,9.42477796076938,-87.9610676439343,97.38584560470368,,0.029111117381143185
0.03,True,inf,9.42477796076938,0.0016130864081163351,9.423164874361262,,0.061105392131279884
0.03,True,46877335.73654935,9.42477796076938,-1.2131721400064732,10.637950100775853,,0.11204423295886248
0.03,True,14103.146157001873,9.42477796076938,9.560925296914991,0.13614733614561203,,0.1984657841397341
0.03,True,367542.65071511455,9.42477796076938,-4.221697599424573,13.646475560193952,,0.16145162103073155
0.03,True,1163.2265322626329,9.42477796076938,-25.61115321205945,35.035931172828825,,0.006486662914528131
0.03,True,203350934.14745453,9.42477796076938,0.9739802416008518,8.450797719168527,50.572728206037404,0.3033648030937196
0.03,True,12470241.858725462,9.42477796076938,1.870688876172694,7.5540890845966855,,0.634305283419172
0.03,True,91412878.1757418,9.42477796076938,1.0302802954789316,8.394497665290448,,0.29471089014135304
0.03,True,inf,9.42477796076938,-58.85188051357125,68.27665847434064,,2.5263486192425952e-37
0.03,True,inf,9.42477796076938,20.306115564791686,10.881337604022306,,1.942684871106367e-34
0.03,True,inf,9.42477796076938,-3.3657296180690337,12.790507578838413,,0.1996182045670795
0.03,True,360.9588357985947,9.42477796076938,-21.800218607538444,31.224996568307823,,0.2850965831630423
0.03,True,782.9733062937158,9.42477796076938,-69.89199797745714,79.31677593822651,,0.39761605332285105
0.03,True,47.66747596136542,9.42477796076938,-114.9999999885,124.42477794926937,,0.28464618790360735
0.03,True,1951799.6842385964,9.42477796076938,2.899403068714785,6.525374892054595,,0.4816067782390558
0.03,True,52843931.71173217,9.42477796076938,1.2027839119443229,8.221994048825056,,0.2056693313946474
0.03,True,17808956.646390162,9.42477796076938,1.966665037474213,7.458112923295166,,0.3156564280603115
0.03,True,inf,9.42477796076938,19.309726284003382,9.884948323234003,,2.832761936460735e-26
0.03,True,120.50029493088444,9.42477796076938,-27.128063597517958,36.55284155828734,,0.1325229544252871
0.03,True,18.581802344247333,9.42477796076938,-98.1517106178329,107.57648857860228,,0.2443344071020126
0.03,True,288902680.4016668,9.42477796076938,0.9125823681443803,8.512195592624998,,0.12170691682397793
0.03,True,inf,9.42477796076938,50.51586474288195,41.09108678211257,34.559392244298856,7.207176117507061e-38
0.03,True,inf,9.42477796076938,-0.0022128914074572015,9.426990852176836,,0.5121966841378947
0.03,True,inf,9.42477796076938,-114.99999999999999,124.42477796076936,,9.571322210157488e-36
0.03,True,4177077.314937308,9.42477796076938,2.637384883956732,6.787393076812647,,0.553368719792544
0.03,True,inf,9.42477796076938,92.85966871629559,83.43489075552621,,8.12326118842722e-34
0.03,True,inf,9.42477796076938,-0.0005185122333975784,9.425296473002778,,0.19731027396462672
0.03,True,inf,9.42477796076938,15.788255985076402,6.363478024307023,,0.423086010967483
0.03,True,1823.0145544877003,9.42477796076938,26.59188367414872,17.16710571337934,,0.15717722816344026
0.03,True,inf,9.42477796076938,2.338407268238069,7.08637069253131,30.828794225710123,0.5651946051848125
0.03,True,inf,9.42477796076938,28.076851243453113,18.652073282683734,,9.951081943565259e-36
0.03,True,263014.46965382743,9.42477796076938,-4.443961247700277,13.868739208469655,,0.20838897496253683
0.03,True,3417.6796829266023,9.42477796076938,-22.438079703480888,31.862857664250267,,0.4034937443609282
0.03,True,145892.57640264244,9.42477796076938,6.027722142462239,3.39705581830714,,0.27040056796182627
0.03,True,29179506.964620586,9.42477796076938,-1.3600525890656971,10.784830549835076,,0.3636722778527793
0.03,True,inf,9.42477796076938,7.866685604082148,1.5580923566872311,79.20884382053609,0.2723274894187191
0.03,True,14462762.104295338,9.42477796076938,2.3407510465774384,7.084026914191941,,0.2249037229456744
0.03,True,4302651.969954154,9.42477796076938,2.4999966115056886,6.924781349263691,,0.139234838880786
0.03,True,46107455.215772204,9.42477796076938,-1.1444013765391046,10.569179337308483,,0.262501095976284
0.03,True,27756.398066126832,9.42477796076938,7.867090765029189,1.5576871957401908,,0.23199687498057847
