t,ia,ib,ic,va,vb,vc,i_rms
0.2385,1.5057327,-1.9204559,-0.5413937,-0.037085857,-0.044490811,0.081576668,1.4292894
0.2386,1.5330211,-1.8852818,-0.52158884,-0.034781323,-0.046620804,0.081402126,1.4282479
0.2387,1.5585564,-1.8485195,-0.50126924,-0.032442463,-0.048704787,0.08114725,1.4272324
0.2388,1.582314,-1.8102052,-0.48045494,-0.030071587,-0.050740705,0.080812291,1.4262438
0.2389,1.6042714,-1.7703765,-0.45916649,-0.027671033,-0.052726548,0.080397581,1.4252829
0.239,1.6244077,-1.7290725,-0.4374249,-0.025243172,-0.054660356,0.079903527,1.4243504
0.2391,1.6427038,-1.6863339,-0.41525162,-0.022790398,-0.056540221,0.079330619,1.4234469
0.2392,1.6591424,-1.6422026,-0.39266854,-0.020315134,-0.058364287,0.078679421,1.422573
0.2393,1.6737082,-1.5967221,-0.36969795,-0.01781982,-0.060130755,0.077950575,1.4217293
0.2394,1.6863876,-1.5499369,-0.3463625,-0.015306921,-0.061837881,0.077144802,1.4209162
0.2395,1.6971688,-1.5018931,-0.32268524,-0.012778916,-0.063483981,0.076262896,1.4209342
0.2396,1.706042,-1.4526378,-0.29868953,-0.010238299,-0.06506743,0.075305728,1.4212819
0.2397,1.7129992,-1.4022195,-0.27439904,-0.0076875782,-0.066586665,0.074274243,1.4216291
0.2398,1.7180345,-1.3506876,-0.24983776,-0.0051292709,-0.068040186,0.073169457,1.4219759
0.2399,1.7211436,-1.2980929,-0.22502992,-0.0025659016,-0.069426561,0.071992463,1.4223219
0.24,1.7223243,-1.2444868,-0.2,9.2076981e-16,-0.07074442,0.07074442,1.422667
0.2401,1.7215762,-1.1899221,-0.1747727,0.0025659016,-0.071992463,0.069426561,1.4230111
0.2402,1.7189009,-1.1344524,-0.14937293,0.0051292709,-0.073169457,0.068040186,1.423354
0.2403,1.7143018,-1.078132,-0.12382574,0.0076875782,-0.074274243,0.066586665,1.4236956
0.2404,1.7077842,-1.0210164,-0.098156353,0.010238299,-0.075305728,0.06506743,1.4240358
0.2405,1.6993553,-0.96316144,-0.072390096,0.012778916,-0.076262896,0.063483981,1.4243743
0.2406,1.6890244,-0.90462402,-0.046552398,0.015306921,-0.077144802,0.061837881,1.424711
0.2407,1.6768023,-0.84546157,-0.020668759,0.01781982,-0.077950575,0.060130755,1.4250459
0.2408,1.662702,-0.78573212,0.0052352775,0.020315134,-0.078679421,0.058364287,1.4253786
0.2409,1.6467381,-0.72549427,0.031134148,0.022790398,-0.079330619,0.056540221,1.4257091
0.241,1.6289271,-0.6648071,0.057002292,0.025243172,-0.079903527,0.054660356,1.4260372
0.2411,1.6092875,-0.60373012,0.082814182,0.027671033,-0.080397581,0.052726548,1.4263626
0.2412,1.5878393,-0.54232323,0.10854434,0.030071587,-0.080812291,0.050740705,1.4266851
