t,ia,ib,ic,va,vb,vc,i_rms
0.8351,0.037524786,-0.8058874,-0.8058874,-0.14001383,0.066196307,0.073817524,0.85100606
0.8352,0.075012497,-0.81097949,-0.81097949,-0.13980653,0.062285809,0.077520723,0.85100558
0.8353,0.11242083,-0.81527123,-0.81527123,-0.13946126,0.058313843,0.081147418,0.8510045
0.8354,0.14971288,-0.81875841,-0.81875841,-0.13897836,0.054284328,0.08469403,0.85100259
0.8355,0.18685187,-0.82143757,-0.82143757,-0.1383583,0.050201241,0.088157059,0.85099961
0.8356,0.22380117,-0.82330606,-0.82330606,-0.1376017,0.046068611,0.091533088,0.85099533
0.8357,0.26052435,-0.82436206,-0.82436206,-0.1367093,0.041890517,0.094818785,0.85098953
0.8358,0.29698519,-0.82460451,-0.82460451,-0.13568199,0.037671083,0.098010907,0.85098199
0.8359,0.33314776,-0.82403317,-0.82403317,-0.13452078,0.033414471,0.1011063,0.85097251
0.836,0.36897641,-0.82264861,-0.82264861,-0.13322681,0.029124884,0.10410192,0.85096088
0.8361,0.40443584,-0.8204522,-0.8204522,-0.13180136,0.024806553,0.1069948,0.8509469
0.8362,0.4394911,-0.8174461,-0.8174461,-0.13024584,0.020463742,0.10978209,0.8509304
0.8363,0.47410767,-0.81363328,-0.81363328,-0.12856178,0.016100736,0.11246104,0.8509112
0.8364,0.50825144,-0.8090175,-0.8090175,-0.12675085,0.011721839,0.11502901,0.85088913
0.8365,0.54188879,-0.80360332,-0.80360332,-0.12481483,0.0073313753,0.11748345,0.85086404
0.8366,0.57498659,-0.79739608,-0.79739608,-0.12275563,0.002933676,0.11982195,0.85083579
0.8367,0.60751227,-0.7904019,-0.7904019,-0.12057529,-0.0014669184,0.1220422,0.85080426
0.8368,0.63943381,-0.7826277,-0.7826277,-0.11827595,-0.0058660653,0.12414201,0.85076933
0.8369,0.67071979,-0.77408113,-0.77408113,-0.11585989,-0.010259423,0.12611931,0.8507309
0.837,0.70133943,-0.76477065,-0.76477065,-0.11332949,-0.014642656,0.12797215,0.85068887
0.8371,0.73126262,-0.75470542,-0.75470542,-0.11068725,-0.019011438,0.12969869,0.85064319
0.8372,0.76045992,-0.74389539,-0.74389539,-0.10793577,-0.023361459,0.13129723,0.85059378
0.8373,0.78890262,-0.73235123,-0.73235123,-0.10507777,-0.027688424,0.1327662,0.8505406
0.8374,0.81656277,-0.72008432,-0.72008432,-0.10211608,-0.031988064,0.13410414,0.85048364
0.8375,0.84341317,-0.70710678,-0.70710678,-0.099053606,-0.036256136,0.13530974,0.85042286
0.8376,0.86942746,-0.69343141,-0.69343141,-0.09589338,-0.040488428,0.13638181,0.85035827
0.8377,0.89458007,-0.67907171,-0.67907171,-0.092638519,-0.044680762,0.13731928,0.85028989
0.8378,0.91884632,-0.66404184,-0.66404184,-0.089292235,-0.048829002,0.13812124,0.85021775
0.8379,0.94220237,-0.64835665,-0.64835665,-0.08585783,-0.052929053,0.13878688,0.85014189
0.838,0.96462532,-0.6320316,-0.6320316,-0.082338694,-0.05697687,0.13931556,0.85006237
0.8381,0.98609317,-0.61508282,-0.61508282,-0.0787383,-0.060968458,0.13970676,0.84997927
0.8382,1.0065849,-0.59752702,-0.59752702,-0.0750602,-0.064899877,0.13996008,0.84989268
0.8383,1.0260803,-0.57938154,-0.57938154,-0.071308025,-0.068767248,0.14007527,0.8498027
0.8384,1.0445605,-0.56066428,-0.56066428,-0.067485478,-0.072566753,0.14005223,0.84970944
0.8385,1.0620072,-0.5413937,-0.5413937,-0.06359633,-0.076294645,0.13989097,0.84961303
0.8386,1.0784034,-0.52158884,-0.52158884,-0.059644421,-0.079947242,0.13959166,0.84951362
0.8387,1.0937331,-0.50126924,-0.50126924,-0.05563365,-0.083520941,0.13915459,0.84941135
0.8388,1.1079813,-0.48045494,-0.48045494,-0.051567975,-0.087012216,0.13858019,0.8493064
0.8389,1.1211341,-0.45916649,-0.45916649,-0.047451408,-0.090417619,0.13786903,0.84919893
0.839,1.1331787,-0.4374249,-0.4374249,-0.043288013,-0.093733792,0.1370218,0.84908913
0.8391,1.1441034,-0.41525162,-0.41525162,-0.039081898,-0.09695746,0.13603936,0.84897719
0.8392,1.1538974,-0.39266854,-0.39266854,-0.034837214,-0.10008544,0.13492266,0.84886332
0.8393,1.1625514,-0.36969795,-0.36969795,-0.03055815,-0.10311465,0.1336728,0.84874773
0.8394,1.1700569,-0.3463625,-0.3463625,-0.026248928,-0.1060421,0.13229103,0.84863063
0.8395,1.1764068,-0.32268524,-0.32268524,-0.021913802,-0.1088649,0.1307787,0.84851224
0.8396,1.1815948,-0.29868953,-0.29868953,-0.01755705,-0.11158026,0.12913731,0.8483928
0.8397,1.1856161,-0.27439904,-0.27439904,-0.01318297,-0.11418551,0.12736848,0.84827253
0.8398,1.1884668,-0.24983776,-0.24983776,-0.0087958814,-0.11667807,0.12547395,0.84815168
0.8399,1.1901443,-0.22502992,-0.22502992,-0.0044001119,-0.11905548,0.12345559,0.84803047
0.84,1.1906471,-0.2,-0.2,5.4966052e-16,-0.1213154,0.1213154,0.84790915
0.8401,1.189975,-0.1747727,-0.1747727,0.0044001119,-0.12345559,0.11905548,0.84778795
0.8402,1.1881286,-0.14937293,-0.14937293,0.0087958814,-0.12547395,0.11667807,0.84766712
0.8403,1.18511,-0.12382574,-0.12382574,0.01318297,-0.12736848,0.11418551,0.84754689
0.8404,1.1809224,-0.098156353,-0.098156353,0.01755705,-0.12913731,0.11158026,0.8474275
0.8405,1.17557,-0.072390096,-0.072390096,0.021913802,-0.1307787,0.1088649,0.84730918
0.8406,1.1690583,-0.046552398,-0.046552398,0.026248928,-0.13229103,0.1060421,0.84719216
0.8407,1.1613939,-0.020668759,-0.020668759,0.03055815,-0.1336728,0.10311465,0.84707666
0.8408,1.1525845,0.0052352775,0.0052352775,0.034837214,-0.13492266,0.10008544,0.84696289
0.8409,1.1426389,0.031134148,0.031134148,0.039081898,-0.13603936,0.09695746,0.84685107
0.841,1.1315673,0.057002292,0.057002292,0.043288013,-0.1370218,0.093733792,0.8467414
0.8411,1.1193805,0.082814182,0.082814182,0.047451408,-0.13786903,0.090417619,0.84663406
0.8412,1.1060908,0.10854434,0.10854434,0.051567975,-0.13858019,0.087012216,0.84652926
0.8413,1.0917116,0.13416739,0.13416739,0.05563365,-0.13915459,0.083520941,0.84642716
0.8414,1.076257,0.15965802,0.15965802,0.059644421,-0.13959166,0.079947242,0.84632792
0.8415,1.0597426,0.18499109,0.18499109,0.06359633,-0.13989097,0.076294645,0.84623169
0.8416,1.0421848,0.2101416,0.2101416,0.067485478,-0.14005223,0.072566753,0.84613863
0.8417,1.023601,0.23508473,0.23508473,0.071308025,-0.14007527,0.068767248,0.84604884
0.8418,1.0040098,0.25979585,0.25979585,0.0750602,-0.13996008,0.064899877,0.84596246
0.8419,0.98343055,0.28425059,0.28425059,0.0787383,-0.13970676,0.060968458,0.84587958
0.842,0.96188378,0.3084248,0.3084248,0.082338694,-0.13931556,0.05697687,0.84580029
0.8421,0.93939088,0.33229464,0.33229464,0.08585783,-0.13878688,0.052929053,0.84572466
0.8422,0.91597417,0.35583654,0.35583654,0.089292235,-0.13812124,0.048829002,0.84565275
0.8423,0.89165689,0.37902728,0.37902728,0.092638519,-0.13731928,0.044680762,0.84558461
0.8424,0.86646317,0.40184396,0.40184396,0.09589338,-0.13638181,0.040488428,0.84552026
0.8425,0.84041798,0.42426407,0.42426407,0.099053606,-0.13530974,0.036256136,0.84545972
0.8426,0.81354717,0.44626548,0.44626548,0.10211608,-0.13410414,0.031988064,0.84540299
0.8427,0.78587734,0.46782648,0.46782648,0.10507777,-0.1327662,0.027688424,0.84535006
0.8428,0.75743594,0.4889258,0.4889258,0.10793577,-0.13129723,0.023361459,0.84530088
0.8429,0.72825112,0.5095426,0.5095426,0.11068725,-0.12969869,0.019011438,0.84525543
0.843,0.69835181,0.52965655,0.52965655,0.11332949,-0.12797215,0.014642656,0.84521363
0.8431,0.66776759,0.54924778,0.54924778,0.11585989,-0.12611931,0.010259423,0.84517541
0.8432,0.63652876,0.56829698,0.56829698,0.11827595,-0.12414201,0.0058660653,0.84514068
0.8433,0.60466622,0.58678534,0.58678534,0.12057529,-0.1220422,0.0014669184,0.84510934
0.8434,0.57221152,0.60469461,0.60469461,0.12275563,-0.11982195,-0.002933676,0.84508128
0.8435,0.53919676,0.62200712,0.62200712,0.12481483,-0.11748345,-0.0073313753,0.84505637
0.8436,0.5056546,0.63870578,0.63870578,0.12675085,-0.11502901,-0.011721839,0.84503446
