dataset,cell,alpha,Rx,snrV,snrI,loc_err_pct,Rx_err_pct,J_final,n_iters,cpu_ms
self_consistent,524,0.7,1000.0,inf,20.0,50.78752028085246,0.16861861980505638,1.996478407407698e-19,9,60.76878891326487
self_consistent,525,0.7,1000.0,inf,30.0,15.908788175438142,0.2426129758357547,2.2891081296742687e-19,11,63.108436996117234
self_consistent,526,0.7,1000.0,inf,40.0,0.9875740111943937,0.03313306585200735,2.5916774788572666e-19,9,55.59215787798166
self_consistent,527,0.7,1000.0,inf,inf,0.0019071333805361795,7.178868941082329e-07,2.1602774173728953e-19,9,60.254276962950826
self_consistent,528,0.7,2000.0,20.0,20.0,35.714285714285715,0.469152232617671,8.492853362211653e-12,7,57.70380515605211
self_consistent,529,0.7,2000.0,20.0,30.0,25.285523149297823,0.3283965167447718,7.55730862637376e-19,38,59.33464504778385
self_consistent,530,0.7,2000.0,20.0,40.0,92.85714285714285,1.8441197159553782,2.4593308571423097e-11,4,59.721400029957294
self_consistent,531,0.7,2000.0,20.0,inf,37.25750051516902,1.133492201784145,4.59649743378935e-19,25,74.90549283102155
self_consistent,532,0.7,2000.0,30.0,20.0,92.85714285714285,0.06757782859729104,1.7379444175617757e-11,6,60.32731104642153
self_consistent,533,0.7,2000.0,30.0,30.0,35.714285714285715,0.12017036775412179,1.0927626084443718e-12,5,56.069920072332025
self_consistent,534,0.7,2000.0,30.0,40.0,35.714285714285715,0.501814285015621,2.045856567281983e-14,19,57.8459189273417
self_consistent,535,0.7,2000.0,30.0,inf,26.912238273209248,0.02908056966617778,5.287097221262298e-19,16,57.18795512802899
self_consistent,536,0.7,2000.0,40.0,20.0,0.3751421809209716,0.10835356621618075,6.547861500410318e-19,28,63.63935396075249
self_consistent,537,0.7,2000.0,40.0,30.0,23.442734053763864,0.3286179811201464,8.916048087478915e-19,24,72.54303200170398
self_consistent,538,0.7,2000.0,40.0,40.0,16.23760530316311,0.36786071843389434,8.814049835851245e-19,38,66.92449911497533
self_consistent,539,0.7,2000.0,40.0,inf,13.733103581619659,0.05256529010932809,7.165960400027911e-19,29,61.95980403572321
self_consistent,540,0.7,2000.0,inf,20.0,5.0975248356772855,0.05478227867946543,8.74490651917958e-19,23,58.73064789921045
self_consistent,541,0.7,2000.0,inf,30.0,27.54779833820098,0.6256008806622276,9.35557373214056e-19,44,70.80846303142607
self_consistent,542,0.7,2000.0,inf,40.0,5.776943236968551,0.12338767587245911,6.726021374280552e-19,27,68.59084987081587
self_consistent,543,0.7,2000.0,inf,inf,0.01147615864682816,4.7106212832659364e-07,9.261261150827685e-19,19,67.76847620494664
self_consistent,544,0.7,5000.0,20.0,20.0,9.30888935538654,2.2915074160091717,4.583356011794102e-12,52,66.07928080484271
self_consistent,545,0.7,5000.0,20.0,30.0,83.67059020925794,2.0482389027927637,1.7658047502927083e-19,6,62.56045098416507
self_consistent,546,0.7,5000.0,20.0,40.0,10.020647994047323,1.097965245400701,1.1612117280228421e-12,88,76.79082197137177
self_consistent,547,0.7,5000.0,20.0,inf,86.3315657283407,2.876636704538596,1.5440364658478424e-19,9,57.69171309657395
self_consistent,548,0.7,5000.0,30.0,20.0,65.06228049352326,0.0,7.572104194834626e-12,3,57.114955969154835
self_consistent,549,0.7,5000.0,30.0,30.0,86.14408863211543,0.6058986306070073,2.5662329550611526e-19,8,58.11508116312325
self_consistent,550,0.7,5000.0,30.0,40.0,57.49342149679581,0.617257535906865,5.114757583625495e-19,31,68.84113419800997
self_consistent,551,0.7,5000.0,30.0,inf,10.512713307115183,0.23970803977417746,2.578327014108732e-12,61,83.31128000281751
self_consistent,552,0.7,5000.0,40.0,20.0,10.449217718119401,0.35203979254896695,5.53609164772512e-12,43,79.59311292506754
self_consistent,553,0.7,5000.0,40.0,30.0,7.169610925933299,0.0,6.880629015719324e-14,4,71.09835208393633
self_consistent,554,0.7,5000.0,40.0,40.0,10.544829427013276,0.182605230250756,6.646369546361286e-14,242,125.1952878665179
self_consistent,555,0.7,5000.0,40.0,inf,13.836971171072951,0.0,6.877954536035143e-14,3,58.28554509207606
self_consistent,556,0.7,5000.0,inf,20.0,92.85714285714285,0.7034696803043516,7.620864799095521e-13,4,66.47061090916395
self_consistent,557,0.7,5000.0,inf,30.0,10.593970960047233,0.09515817401579625,4.9330115062545564e-14,266,121.70062400400639
self_consistent,558,0.7,5000.0,inf,40.0,6.417583819674897,0.1378163224428863,9.98056575598345e-19,1223,420.13919702731073
self_consistent,559,0.7,5000.0,inf,inf,0.002526594565946791,0.0,7.098600239630185e-21,2,149.70361697487533
self_consistent,560,0.8,100.0,20.0,20.0,2.6387784945266084,0.8651035938619032,3.555155472431094e-17,7,61.818090034648776
self_consistent,561,0.8,100.0,20.0,30.0,3.5663494016623942,0.0,2.608976239414804e-09,3,68.1332831736654
self_consistent,562,0.8,100.0,20.0,40.0,1.2272993681314153,0.0,2.332826052297177e-10,4,55.069325026124716
self_consistent,563,0.8,100.0,20.0,inf,4.948879360965524,0.0,7.505622060957778e-09,5,58.40724613517523
