dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2_mean,loc_improvement_frac,loc_improvement_pct
pscad,239,0.300,5000.0,inf,inf,22.339835,99.966667,-3.474817,-347.4817
pscad,240,0.400,100.0,20.0,20.0,14.065765,29.402332,-1.090347,-109.0347
pscad,241,0.400,100.0,20.0,30.0,0.156905,14.087933,-88.786381,-8878.6381
pscad,242,0.400,100.0,20.0,40.0,5.168717,6.724386,-0.300978,-30.0978
pscad,243,0.400,100.0,20.0,inf,0.649177,11.709645,-17.037690,-1703.7690
pscad,244,0.400,100.0,30.0,20.0,0.513664,14.323961,-26.885861,-2688.5861
pscad,245,0.400,100.0,30.0,30.0,1.779161,14.279216,-7.025816,-702.5816
pscad,246,0.400,100.0,30.0,40.0,1.451396,11.614961,-7.002612,-700.2612
pscad,247,0.400,100.0,30.0,inf,1.580241,14.262352,-8.025429,-802.5429
pscad,248,0.400,100.0,40.0,20.0,5.495393,8.983615,-0.634754,-63.4754
pscad,249,0.400,100.0,40.0,30.0,0.033021,14.070514,-425.105265,-42510.5265
pscad,250,0.400,100.0,40.0,40.0,1.927090,11.602922,-5.020953,-502.0953
pscad,251,0.400,100.0,40.0,inf,0.554983,14.103468,-24.412451,-2441.2451
pscad,252,0.400,100.0,inf,20.0,8.292441,21.600509,-1.604843,-160.4843
pscad,253,0.400,100.0,inf,30.0,2.198996,11.629449,-4.288526,-428.8526
pscad,254,0.400,100.0,inf,40.0,1.076987,11.727908,-9.889554,-988.9554
pscad,255,0.400,100.0,inf,inf,0.211805,16.150024,-75.249507,-7524.9507
pscad,256,0.400,500.0,20.0,20.0,8.996346,8.693806,0.033629,3.3629
pscad,257,0.400,500.0,20.0,30.0,21.309449,21.853155,-0.025515,-2.5515
pscad,258,0.400,500.0,20.0,40.0,8.619623,11.272017,-0.307716,-30.7716
pscad,259,0.400,500.0,20.0,inf,38.437199,41.818839,-0.087978,-8.7978
pscad,260,0.400,500.0,30.0,20.0,15.587537,16.604462,-0.065240,-6.5240
pscad,261,0.400,500.0,30.0,30.0,7.525765,6.670750,0.113612,11.3612
pscad,262,0.400,500.0,30.0,40.0,0.013386,0.968943,-71.385696,-7138.5696
pscad,263,0.400,500.0,30.0,inf,4.655036,6.126453,-0.316091,-31.6091
pscad,264,0.400,500.0,40.0,20.0,80.260465,92.032738,-0.146676,-14.6676
pscad,265,0.400,500.0,40.0,30.0,19.878739,21.433728,-0.078224,-7.8224
pscad,266,0.400,500.0,40.0,40.0,1.982372,3.456215,-0.743474,-74.3474
