dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2,Rx_err_p2
pscad,135,0.200,2000.0,30.0,inf,38.039777,91.335928,1.022012
pscad,136,0.200,2000.0,40.0,20.0,213.618874,208.370539,1.065090
pscad,137,0.200,2000.0,40.0,30.0,173.132226,212.626239,0.957775
pscad,138,0.200,2000.0,40.0,40.0,50.010657,106.581935,1.012270
pscad,139,0.200,2000.0,40.0,inf,57.793762,117.320561,0.998279
pscad,140,0.200,2000.0,inf,20.0,262.006131,259.080819,0.930945
pscad,141,0.200,2000.0,inf,30.0,126.808943,152.288286,1.052773
pscad,142,0.200,2000.0,inf,40.0,68.794669,132.408027,0.984158
pscad,143,0.200,2000.0,inf,inf,56.642674,112.088366,1.009350
pscad,144,0.200,5000.0,20.0,20.0,219.148077,99.950000,5.476793
pscad,145,0.200,5000.0,20.0,30.0,75.000000,99.950000,4.464748
pscad,146,0.200,5000.0,20.0,40.0,73.427839,99.950000,4.855054
pscad,147,0.200,5000.0,20.0,inf,16.112131,99.950000,4.842718
pscad,148,0.200,5000.0,30.0,20.0,135.390374,99.950000,4.879027
pscad,149,0.200,5000.0,30.0,30.0,24.536017,99.950000,4.594516
pscad,150,0.200,5000.0,30.0,40.0,24.525002,99.950000,4.642426
pscad,151,0.200,5000.0,30.0,inf,150.441285,99.950000,4.896771
pscad,152,0.200,5000.0,40.0,20.0,96.655231,99.950000,4.622304
pscad,153,0.200,5000.0,40.0,30.0,51.713729,99.950000,4.803196
pscad,154,0.200,5000.0,40.0,40.0,82.348418,99.950000,4.818150
pscad,155,0.200,5000.0,40.0,inf,28.457189,99.950000,4.730197
pscad,156,0.200,5000.0,inf,20.0,75.000000,99.950000,4.847392
pscad,157,0.200,5000.0,inf,30.0,52.788222,99.950000,4.645439
pscad,158,0.200,5000.0,inf,40.0,49.236816,99.950000,4.729773
pscad,159,0.200,5000.0,inf,inf,62.680218,99.950000,4.775352
pscad,160,0.300,100.0,20.0,20.0,10.765882,5.149267,7.520333
pscad,161,0.300,100.0,20.0,30.0,7.778448,8.672716,7.431058
pscad,162,0.300,100.0,20.0,40.0,2.131732,15.117878,7.493608
pscad,163,0.300,100.0,20.0,inf,2.031029,14.994469,7.658019
pscad,164,0.300,100.0,30.0,20.0,1.034629,15.288907,7.492305
pscad,165,0.300,100.0,30.0,30.0,3.656006,21.736538,7.494209
pscad,166,0.300,100.0,30.0,40.0,0.041041,18.255302,7.513419
pscad,167,0.300,100.0,30.0,inf,1.995406,15.066033,7.547914
pscad,168,0.300,100.0,40.0,20.0,11.956062,5.040923,7.482176
pscad,169,0.300,100.0,40.0,30.0,1.484646,15.154014,7.534536
pscad,170,0.300,100.0,40.0,40.0,1.092242,15.239405,7.508759
pscad,171,0.300,100.0,40.0,inf,0.849544,18.403710,7.508658
pscad,172,0.300,100.0,inf,20.0,1.405128,18.355776,7.391819
pscad,173,0.300,100.0,inf,30.0,2.791790,21.723914,7.447150
pscad,174,0.300,100.0,inf,40.0,0.177153,18.254880,7.505299
pscad,175,0.300,100.0,inf,inf,0.102864,18.273595,7.502385
pscad,176,0.300,500.0,20.0,20.0,1.550895,2.093315,0.775874
pscad,177,0.300,500.0,20.0,30.0,83.333333,99.966667,0.935271
pscad,178,0.300,500.0,20.0,40.0,42.327737,41.691049,1.074140
pscad,179,0.300,500.0,20.0,inf,32.605715,31.665329,0.995418
pscad,180,0.300,500.0,30.0,20.0,14.559716,19.245304,0.772105
pscad,181,0.300,500.0,30.0,30.0,16.714356,14.822475,0.874902
pscad,182,0.300,500.0,30.0,40.0,12.542818,11.199338,0.962660
pscad,183,0.300,500.0,30.0,inf,23.675376,24.441369,0.978723
pscad,184,0.300,500.0,40.0,20.0,41.773201,44.721838,0.911189
pscad,185,0.300,500.0,40.0,30.0,1.276772,2.102958,0.908449
pscad,186,0.300,500.0,40.0,40.0,0.719004,2.194487,0.948493
pscad,187,0.300,500.0,40.0,inf,4.527863,1.312453,0.936846
pscad,188,0.300,500.0,inf,20.0,20.155152,22.585335,1.179760
pscad,189,0.300,500.0,inf,30.0,5.274144,8.896797,0.969128
pscad,190,0.300,500.0,inf,40.0,10.489915,8.021353,0.955830
pscad,191,0.300,500.0,inf,inf,1.906985,0.827851,0.956325
pscad,192,0.300,1000.0,20.0,20.0,66.313198,99.966667,11.181957
pscad,193,0.300,1000.0,20.0,30.0,8.333369,85.584890,12.325961
pscad,194,0.300,1000.0,20.0,40.0,44.161006,99.966667,11.071174
pscad,195,0.300,1000.0,20.0,inf,53.900371,99.966667,11.045811
pscad,196,0.300,1000.0,30.0,20.0,16.845816,99.966667,11.104773
pscad,197,0.300,1000.0,30.0,30.0,14.540584,99.966667,11.062364
pscad,198,0.300,1000.0,30.0,40.0,6.909752,99.966667,11.032012
pscad,199,0.300,1000.0,30.0,inf,14.094214,99.966667,11.030952
pscad,200,0.300,1000.0,40.0,20.0,83.333333,99.966667,11.077302
pscad,201,0.300,1000.0,40.0,30.0,7.606226,99.966667,11.136870
pscad,202,0.300,1000.0,40.0,40.0,7.946421,99.966667,11.074895
pscad,203,0.300,1000.0,40.0,inf,8.048329,99.966667,11.080714
pscad,204,0.300,1000.0,inf,20.0,165.556164,99.966667,11.150655
