dataset,cell,alpha,Rx,snrV,snrI,n_trials,loc_mean_pct,loc_p95_pct,Rx_mean_pct,Rx_p95_pct
ref50,290,0.4,2000.0,20.0,40.0,1,72.49895253897387,72.49895253897387,0.7941234720930765,0.7941234720930765
ref50,291,0.4,2000.0,20.0,inf,1,23.57592493072533,23.57592493072533,0.9604647237179392,0.9604647237179392
ref50,292,0.4,2000.0,30.0,20.0,1,41.36629897673899,41.36629897673899,0.8637937716273996,0.8637937716273996
ref50,293,0.4,2000.0,30.0,30.0,1,82.72411976552335,82.72411976552335,0.8411670997016814,0.8411670997016814
ref50,294,0.4,2000.0,30.0,40.0,1,33.766801338604736,33.766801338604736,1.0917565951503776,1.0917565951503776
ref50,295,0.4,2000.0,30.0,inf,1,56.83844883831391,56.83844883831391,1.0039734483542133,1.0039734483542133
ref50,296,0.4,2000.0,40.0,20.0,1,3.5828745565864155,3.5828745565864155,1.0556704629723526,1.0556704629723526
ref50,297,0.4,2000.0,40.0,30.0,1,67.04418061455146,67.04418061455146,1.0517727619438915,1.0517727619438915
ref50,298,0.4,2000.0,40.0,40.0,1,31.477572005973204,31.477572005973204,1.0080421248907783,1.0080421248907783
ref50,299,0.4,2000.0,40.0,inf,1,46.31549418916286,46.31549418916286,0.9628102716880335,0.9628102716880335
ref50,300,0.4,2000.0,inf,20.0,1,82.91557740970785,82.91557740970785,1.0079056680334701,1.0079056680334701
ref50,301,0.4,2000.0,inf,30.0,1,49.435578962584266,49.435578962584266,1.0750977872576981,1.0750977872576981
ref50,302,0.4,2000.0,inf,40.0,1,46.52736465486843,46.52736465486843,0.9382314045094973,0.9382314045094973
ref50,303,0.4,2000.0,inf,inf,1,43.88580826161381,43.88580826161381,0.987190930690008,0.987190930690008
ref50,304,0.4,5000.0,20.0,20.0,1,99.975,99.975,4.802552917008925,4.802552917008925
ref50,305,0.4,5000.0,20.0,30.0,1,99.975,99.975,4.778081858407186,4.778081858407186
ref50,306,0.4,5000.0,20.0,40.0,1,99.975,99.975,4.772352734989036,4.772352734989036
ref50,307,0.4,5000.0,20.0,inf,1,99.975,99.975,4.752415546944831,4.752415546944831
ref50,308,0.4,5000.0,30.0,20.0,1,99.975,99.975,4.901816724300752,4.901816724300752
ref50,309,0.4,5000.0,30.0,30.0,1,99.975,99.975,4.79212800205858,4.79212800205858
ref50,310,0.4,5000.0,30.0,40.0,1,99.975,99.975,4.752864343140336,4.752864343140336
ref50,311,0.4,5000.0,30.0,inf,1,99.975,99.975,4.808390224610685,4.808390224610685
ref50,312,0.4,5000.0,40.0,20.0,1,99.975,99.975,5.090430229102021,5.090430229102021
ref50,313,0.4,5000.0,40.0,30.0,1,99.975,99.975,4.866207419923922,4.866207419923922
ref50,314,0.4,5000.0,40.0,40.0,1,99.975,99.975,4.76348468107004,4.76348468107004
ref50,315,0.4,5000.0,40.0,inf,1,99.975,99.975,4.79107189171853,4.79107189171853
ref50,316,0.4,5000.0,inf,20.0,1,99.975,99.975,4.822355112408441,4.822355112408441
ref50,317,0.4,5000.0,inf,30.0,1,99.975,99.975,4.754764784813742,4.754764784813742
ref50,318,0.4,5000.0,inf,40.0,1,99.975,99.975,4.839035649461476,4.839035649461476
ref50,319,0.4,5000.0,inf,inf,1,99.975,99.975,4.819468454498565,4.819468454498565
ref50,320,0.5,100.0,20.0,20.0,1,17.44493610997917,17.44493610997917,7.530542174610758,7.530542174610758
ref50,321,0.5,100.0,20.0,30.0,1,17.554275346657676,17.554275346657676,7.453190368131686,7.453190368131686
ref50,322,0.5,100.0,20.0,40.0,1,17.563373771875778,17.563373771875778,7.448902869409352,7.448902869409352
ref50,323,0.5,100.0,20.0,inf,1,9.57776323370092,9.57776323370092,7.505707179134688,7.505707179134688
ref50,324,0.5,100.0,30.0,20.0,1,5.369320848860837,5.369320848860837,7.553431111163648,7.553431111163648
ref50,325,0.5,100.0,30.0,30.0,1,15.46920002773029,15.46920002773029,7.500439879310661,7.500439879310661
ref50,326,0.5,100.0,30.0,40.0,1,11.53976393829257,11.53976393829257,7.548839816352313,7.548839816352313
ref50,327,0.5,100.0,30.0,inf,1,13.470123524282096,13.470123524282096,7.514952060083203,7.514952060083203
ref50,328,0.5,100.0,40.0,20.0,1,9.591965460742703,9.591965460742703,7.383848638610957,7.383848638610957
ref50,329,0.5,100.0,40.0,30.0,1,9.55389739416006,9.55389739416006,7.49664933643237,7.49664933643237
ref50,330,0.5,100.0,40.0,40.0,1,9.601826382205502,9.601826382205502,7.508438780666154,7.508438780666154
ref50,331,0.5,100.0,40.0,inf,1,11.476255391100665,11.476255391100665,7.5256504860699485,7.5256504860699485
ref50,332,0.5,100.0,inf,20.0,1,21.600923961012764,21.600923961012764,7.731803663670604,7.731803663670604
ref50,333,0.5,100.0,inf,30.0,1,9.565539820573399,9.565539820573399,7.49584174787708,7.49584174787708
ref50,334,0.5,100.0,inf,40.0,1,11.435548498723879,11.435548498723879,7.496379589146001,7.496379589146001
ref50,335,0.5,100.0,inf,inf,1,13.164157148820689,13.164157148820689,7.509119438227714,7.509119438227714
ref50,336,0.5,500.0,20.0,20.0,1,7.00282647627648,7.00282647627648,1.1063023761556905,1.1063023761556905
ref50,337,0.5,500.0,20.0,30.0,1,5.13367683196555,5.13367683196555,1.1178505382770028,1.1178505382770028
ref50,338,0.5,500.0,20.0,40.0,1,43.529576749520004,43.529576749520004,1.0658050850426206,1.0658050850426206
ref50,339,0.5,500.0,20.0,inf,1,27.40572150991212,27.40572150991212,0.7481047151984512,0.7481047151984512
ref50,340,0.5,500.0,30.0,20.0,1,27.291054636518197,27.291054636518197,1.0520509559165248,1.0520509559165248
ref50,341,0.5,500.0,30.0,30.0,1,5.264022036211857,5.264022036211857,1.0298067169483374,1.0298067169483374
ref50,342,0.5,500.0,30.0,40.0,1,8.958911896846299,8.958911896846299,1.021625144194445,1.021625144194445
ref50,343,0.5,500.0,30.0,inf,1,3.1864489103478277,3.1864489103478277,0.9390525064187158,0.9390525064187158
ref50,344,0.5,500.0,40.0,20.0,1,15.29418340779143,15.29418340779143,0.9411552877652071,0.9411552877652071
ref50,345,0.5,500.0,40.0,30.0,1,9.32115229727315,9.32115229727315,1.023240316490717,1.023240316490717
ref50,346,0.5,500.0,40.0,40.0,1,1.1150413223694589,1.1150413223694589,0.9680054327113453,0.9680054327113453
ref50,347,0.5,500.0,40.0,inf,1,7.150264903124759,7.150264903124759,0.9486423920043763,0.9486423920043763
ref50,348,0.5,500.0,inf,20.0,1,18.926319306568416,18.926319306568416,0.8693548098053953,0.8693548098053953
ref50,349,0.5,500.0,inf,30.0,1,2.9256791624693412,2.9256791624693412,1.0075214178425995,1.0075214178425995
ref50,350,0.5,500.0,inf,40.0,1,1.1574196606485065,1.1574196606485065,0.9361004187464118,0.9361004187464118
ref50,351,0.5,500.0,inf,inf,1,1.258114886703976,1.258114886703976,0.9567373027675558,0.9567373027675558
ref50,352,0.5,1000.0,20.0,20.0,1,99.98,99.98,11.149822912809647,11.149822912809647
ref50,353,0.5,1000.0,20.0,30.0,1,99.98,99.98,11.06351640797924,11.06351640797924
ref50,354,0.5,1000.0,20.0,40.0,1,99.98,99.98,11.15064743692002,11.15064743692002
ref50,355,0.5,1000.0,20.0,inf,1,99.98,99.98,11.118321342812145,11.118321342812145
ref50,356,0.5,1000.0,30.0,20.0,1,99.98,99.98,11.077403740726538,11.077403740726538
ref50,357,0.5,1000.0,30.0,30.0,1,99.98,99.98,11.063768632947188,11.063768632947188
ref50,358,0.5,1000.0,30.0,40.0,1,99.98,99.98,11.128567886007408,11.128567886007408
ref50,359,0.5,1000.0,30.0,inf,1,99.98,99.98,11.075701048216114,11.075701048216114
ref50,360,0.5,1000.0,40.0,20.0,1,99.98,99.98,11.188980738679787,11.188980738679787
ref50,361,0.5,1000.0,40.0,30.0,1,99.98,99.98,11.09061461722057,11.09061461722057
ref50,362,0.5,1000.0,40.0,40.0,1,99.98,99.98,11.0918078994634,11.0918078994634
ref50,363,0.5,1000.0,40.0,inf,1,99.98,99.98,11.07912807146007,11.07912807146007
ref50,364,0.5,1000.0,inf,20.0,1,99.98,99.98,11.061212751855157,11.061212751855157
ref50,365,0.5,1000.0,inf,30.0,1,99.98,99.98,11.143029694866199,11.143029694866199
ref50,366,0.5,1000.0,inf,40.0,1,99.98,99.98,11.077539301332525,11.077539301332525
ref50,367,0.5,1000.0,inf,inf,1,29.495282138363365,29.495282138363365,12.069962485167206,12.069962485167206
ref50,368,0.5,2000.0,20.0,20.0,1,45.27043305857998,45.27043305857998,1.291334578210774,1.291334578210774
ref50,369,0.5,2000.0,20.0,30.0,1,15.360526965704224,15.360526965704224,1.0821805651783507,1.0821805651783507
ref50,370,0.5,2000.0,20.0,40.0,1,59.25129837495402,59.25129837495402,0.48042342702034374,0.48042342702034374
ref50,371,0.5,2000.0,20.0,inf,1,67.78923704869095,67.78923704869095,0.9873807600662758,0.9873807600662758
ref50,372,0.5,2000.0,30.0,20.0,1,35.61883236508703,35.61883236508703,0.9160641967151151,0.9160641967151151
ref50,373,0.5,2000.0,30.0,30.0,1,23.29443067066419,23.29443067066419,0.9865476700364297,0.9865476700364297
ref50,374,0.5,2000.0,30.0,40.0,1,31.58867242122043,31.58867242122043,1.0058448750761841,1.0058448750761841
ref50,375,0.5,2000.0,30.0,inf,1,66.10784415372022,66.10784415372022,0.9142230501008498,0.9142230501008498
ref50,376,0.5,2000.0,40.0,20.0,1,23.285063280108908,23.285063280108908,1.229176567325601,1.229176567325601
ref50,377,0.5,2000.0,40.0,30.0,1,27.381502217456834,27.381502217456834,0.9725515584982987,0.9725515584982987
ref50,378,0.5,2000.0,40.0,40.0,1,17.07997571109592,17.07997571109592,0.9965362738107502,0.9965362738107502
ref50,379,0.5,2000.0,40.0,inf,1,29.399581327658165,29.399581327658165,0.9985623065285154,0.9985623065285154
ref50,380,0.5,2000.0,inf,20.0,1,53.85078282951484,53.85078282951484,0.9997850473195626,0.9997850473195626
ref50,381,0.5,2000.0,inf,30.0,1,31.534600481450802,31.534600481450802,0.9586995894158349,0.9586995894158349
ref50,382,0.5,2000.0,inf,40.0,1,17.47667602126528,17.47667602126528,0.9610800082759852,0.9610800082759852
ref50,383,0.5,2000.0,inf,inf,1,27.580015003903412,27.580015003903412,0.977614688299991,0.977614688299991
ref50,384,0.5,5000.0,20.0,20.0,1,99.98,99.98,4.350071339811075,4.350071339811075
ref50,385,0.5,5000.0,20.0,30.0,1,99.98,99.98,4.29899102931895,4.29899102931895
ref50,386,0.5,5000.0,20.0,40.0,1,99.98,99.98,4.854623086202591,4.854623086202591
ref50,387,0.5,5000.0,20.0,inf,1,99.98,99.98,5.054584958481646,5.054584958481646
ref50,388,0.5,5000.0,30.0,20.0,1,99.98,99.98,5.000929383733019,5.000929383733019
ref50,389,0.5,5000.0,30.0,30.0,1,99.98,99.98,4.939931892722743,4.939931892722743
ref50,390,0.5,5000.0,30.0,40.0,1,99.98,99.98,4.8241273040776464,4.8241273040776464
ref50,391,0.5,5000.0,30.0,inf,1,99.98,99.98,4.800912397054344,4.800912397054344
ref50,392,0.5,5000.0,40.0,20.0,1,99.98,99.98,4.62509008693818,4.62509008693818
ref50,393,0.5,5000.0,40.0,30.0,1,99.98,99.98,4.8797212612998555,4.8797212612998555
ref50,394,0.5,5000.0,40.0,40.0,1,99.98,99.98,4.863645953820233,4.863645953820233
ref50,395,0.5,5000.0,40.0,inf,1,99.98,99.98,4.843235833199815,4.843235833199815
ref50,396,0.5,5000.0,inf,20.0,1,99.98,99.98,5.081482983708392,5.081482983708392
ref50,397,0.5,5000.0,inf,30.0,1,99.98,99.98,4.794129825256114,4.794129825256114
ref50,398,0.5,5000.0,inf,40.0,1,99.98,99.98,4.825773845415807,4.825773845415807
ref50,399,0.5,5000.0,inf,inf,1,99.98,99.98,4.836240146619457,4.836240146619457
ref50,400,0.6,100.0,20.0,20.0,1,13.26683346091373,13.26683346091373,7.424047899174468,7.424047899174468
ref50,401,0.6,100.0,20.0,30.0,1,4.673625485746439,4.673625485746439,7.395679427528506,7.395679427528506
ref50,402,0.6,100.0,20.0,40.0,1,13.274946352777873,13.274946352777873,7.492327422562609,7.492327422562609
ref50,403,0.6,100.0,20.0,inf,1,13.134267420474133,13.134267420474133,7.547407161932326,7.547407161932326
ref50,404,0.6,100.0,30.0,20.0,1,6.4072774753167385,6.4072774753167385,7.271430867456843,7.271430867456843
ref50,405,0.6,100.0,30.0,30.0,1,9.881148271522292,9.881148271522292,7.491703061725133,7.491703061725133
ref50,406,0.6,100.0,30.0,40.0,1,9.734594609536778,9.734594609536778,7.512444655937727,7.512444655937727
ref50,407,0.6,100.0,30.0,inf,1,9.870336425024995,9.870336425024995,7.562284932088573,7.562284932088573
