fault_bus,alpha_true,Rx_true,snr_v_db,snr_i_db,alpha_hat_emanuel,Rx_hat_emanuel,loc_err_pct_emanuel,Rx_err_pct_emanuel,alpha_hat_kizilcay,Rx_hat_kizilcay,loc_err_pct_kizilcay,Rx_err_pct_kizilcay,delta_loc_err_pct,delta_Rx_err_pct
bus_07,0.5,500.0,inf,30.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.1522147074379,99.98,0.23044294148758127,0.0,-30.795268430422606
bus_07,0.5,500.0,inf,40.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,501.0406656713476,99.98,0.20813313426951935,0.0,-30.817578237640667
bus_07,0.5,500.0,inf,inf,0.9999,658.894800055674,99.98,31.77896001113479,0.9999,501.10279997192015,99.98,0.2205599943840298,0.0,-31.55840001675076
bus_07,0.5,1000.0,20.0,30.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.992522449199,99.98,8.4007477550801,0.0,-6.738792177564596
bus_07,0.5,1000.0,20.0,40.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,916.3710041691758,99.98,8.362899583082424,0.0,-6.776640349562273
bus_07,0.5,1000.0,20.0,inf,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.3987110448161,99.98,8.460128895518391,0.0,-6.679411037126306
bus_07,0.5,1000.0,30.0,30.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,916.1203919458592,99.98,8.38796080541408,0.0,-6.751579127230617
bus_07,0.5,1000.0,30.0,40.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.9851511703731,99.98,8.401484882962688,0.0,-6.738055049682009
bus_07,0.5,1000.0,30.0,inf,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.2770461076989,99.98,8.472295389230112,0.0,-6.667244543414585
bus_07,0.5,1000.0,40.0,30.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.28042570642,99.98,8.471957429357998,0.0,-6.667582503286699
bus_07,0.5,1000.0,40.0,40.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.4875960930628,99.98,8.451240390693714,0.0,-6.6882995419509825
bus_07,0.5,1000.0,40.0,inf,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.470579683268,99.98,8.452942031673194,0.0,-6.686597900971503
bus_07,0.5,1000.0,inf,30.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.1650409807369,99.98,8.483495901926311,0.0,-6.656044030718386
bus_07,0.5,1000.0,inf,40.0,0.9999,1151.395399326447,99.98,15.139539932644697,0.9999,915.4453008349288,99.98,8.455469916507116,0.0,-6.68407001613758
bus_07,0.5,1000.0,inf,inf,0.9999,1492.1063323853227,99.98,49.210633238532274,0.9999,1163.179805496938,99.98,16.31798054969379,0.0,-32.89265268883848
bus_07,0.5,2000.0,20.0,30.0,0.9999,1655.3141819321604,99.98,17.23429090339198,0.9999,1560.9146915035117,99.98,21.954265424824413,0.0,4.719974521432434
bus_07,0.5,2000.0,20.0,40.0,0.9999,1654.3292838100451,99.98,17.283535809497742,0.9999,1555.740605906851,99.98,22.21296970465745,0.0,4.929433895159708
bus_07,0.5,2000.0,20.0,inf,0.9999,1654.2294439906145,99.98,17.288527800469275,0.9999,1569.835748714471,99.98,21.508212564276448,0.0,4.219684763807173
bus_07,0.5,2000.0,30.0,30.0,0.9999,1655.1721830920683,99.98,17.241390845396584,0.9999,1562.3301891530261,99.98,21.883490542348692,0.0,4.6420996969521084
bus_07,0.5,2000.0,30.0,40.0,0.9999,1654.837377668632,99.98,17.258131116568407,0.9999,1561.0594402867532,99.98,21.947027985662338,0.0,4.688896869093931
bus_07,0.5,2000.0,30.0,inf,0.9999,1654.9883307347043,99.98,17.250583463264785,0.9999,1553.2973506617186,99.98,22.33513246691407,0.0,5.084549003649286
bus_07,0.5,2000.0,40.0,30.0,0.9999,1654.4619154942582,99.98,17.276904225287094,0.9999,1558.4096615249166,99.98,22.07951692375417,0.0,4.802612698467076
bus_07,0.5,2000.0,40.0,40.0,0.9999,1654.9638332322836,99.98,17.25180833838582,0.9999,1559.6878043206918,99.98,22.015609783965406,0.0,4.763801445579585
bus_07,0.5,2000.0,40.0,inf,0.9999,1654.8075651055967,99.98,17.259621744720164,0.9999,1559.6963352239893,99.98,22.015183238800535,0.0,4.755561494080371
bus_07,0.5,2000.0,inf,30.0,0.9999,1654.672103569964,99.98,17.266394821501795,0.9999,1558.4256089775836,99.98,22.07871955112082,0.0,4.812324729619025
bus_07,0.5,2000.0,inf,40.0,0.9999,1654.7238434216977,99.98,17.263807828915116,0.9999,1560.9830856406015,99.98,21.950845717969926,0.0,4.68703788905481
