alpha,Rx,sigma_min,sigma_min_over_max,hermann_krener_rank,is_degenerate
0.141837,797.0660,1.537087e-06,2.904754e-02,2,0
0.141837,863.3107,1.300362e-06,2.833419e-02,2,0
0.141837,935.0611,1.098370e-06,2.753396e-02,2,0
0.141837,1012.7747,9.261626e-07,2.664624e-02,2,0
0.141837,1096.9472,7.795082e-07,2.567281e-02,2,0
0.141837,1188.1153,6.547817e-07,2.461818e-02,2,0
0.141837,1286.8604,5.488735e-07,2.348973e-02,2,0
0.141837,1393.8123,4.591113e-07,2.229761e-02,2,0
0.141837,1509.6530,3.831937e-07,2.105451e-02,2,0
0.141837,1635.1214,3.191350e-07,1.977510e-02,2,0
0.141837,1771.0175,2.652191e-07,1.847541e-02,2,0
0.141837,1918.2081,2.199606e-07,1.717200e-02,2,0
0.141837,2077.6318,1.820735e-07,1.588112e-02,2,0
0.141837,2250.3052,1.504448e-07,1.461798e-02,2,0
0.141837,2437.3297,1.241126e-07,1.339608e-02,2,0
0.141837,2639.8980,1.022473e-07,1.222672e-02,2,0
0.141837,2859.3018,8.413594e-08,1.111878e-02,2,0
0.141837,3096.9405,6.916791e-08,1.007860e-02,2,0
0.141837,3354.3295,5.682278e-08,9.110130e-03,2,1
0.141837,3633.1102,4.665895e-08,8.215114e-03,2,1
0.141837,3935.0607,3.830352e-08,7.393425e-03,2,1
0.141837,4262.1064,3.144307e-08,6.643402e-03,2,1
0.141837,4616.3332,2.581541e-08,5.962209e-03,2,1
0.141837,5000.0000,2.120210e-08,5.346165e-03,2,1
0.160204,100.0000,9.615186e-05,3.268167e-02,2,0
0.160204,108.3111,8.220955e-05,3.270088e-02,2,0
0.160204,117.3129,7.027955e-05,3.271974e-02,2,0
0.160204,127.0628,6.007370e-05,3.273790e-02,2,0
0.160204,137.6231,5.134450e-05,3.275490e-02,2,0
0.160204,149.0611,4.387953e-05,3.277018e-02,2,0
0.160204,161.4497,3.749658e-05,3.278309e-02,2,0
0.160204,174.8679,3.203942e-05,3.279280e-02,2,0
0.160204,189.4013,2.737421e-05,3.279832e-02,2,0
0.160204,205.1425,2.338628e-05,3.279848e-02,2,0
0.160204,222.1921,1.997747e-05,3.279188e-02,2,0
0.160204,240.6586,1.706378e-05,3.277684e-02,2,0
0.160204,260.6599,1.457332e-05,3.275142e-02,2,0
0.160204,282.3236,1.244461e-05,3.271330e-02,2,0
0.160204,305.7877,1.062506e-05,3.265980e-02,2,0
0.160204,331.2019,9.069739e-06,3.258785e-02,2,0
0.160204,358.7284,7.740213e-06,3.249386e-02,2,0
0.160204,388.5425,6.603649e-06,3.237381e-02,2,0
0.160204,420.8346,5.631994e-06,3.222314e-02,2,0
0.160204,455.8105,4.801282e-06,3.203678e-02,2,0
0.160204,493.6932,4.091041e-06,3.180917e-02,2,0
0.160204,534.7244,3.483789e-06,3.153430e-02,2,0
0.160204,579.1657,2.964600e-06,3.120582e-02,2,0
0.160204,627.3006,2.520728e-06,3.081718e-02,2,0
0.160204,679.4360,2.141294e-06,3.036184e-02,2,0
0.160204,735.9045,1.817009e-06,2.983354e-02,2,0
0.160204,797.0660,1.539945e-06,2.922666e-02,2,0
0.160204,863.3107,1.303333e-06,2.853659e-02,2,0
0.160204,935.0611,1.101389e-06,2.776019e-02,2,0
0.160204,1012.7747,9.291746e-07,2.689625e-02,2,0
0.160204,1096.9472,7.824627e-07,2.594586e-02,2,0
0.160204,1188.1153,6.576354e-07,2.491276e-02,2,0
0.160204,1286.8604,5.515904e-07,2.380357e-02,2,0
0.160204,1393.8123,4.616624e-07,2.262768e-02,2,0
0.160204,1509.6530,3.855575e-07,2.139713e-02,2,0
0.160204,1635.1214,3.212975e-07,2.012612e-02,2,0
0.160204,1771.0175,2.671730e-07,1.883037e-02,2,0
0.160204,1918.2081,2.217053e-07,1.752639e-02,2,0
0.160204,2077.6318,1.836138e-07,1.623058e-02,2,0
0.160204,2250.3052,1.517901e-07,1.495852e-02,2,0
0.160204,2437.3297,1.252757e-07,1.372421e-02,2,0
0.160204,2639.8980,1.032434e-07,1.253960e-02,2,0
0.160204,2859.3018,8.498148e-08,1.141423e-02,2,0
0.160204,3096.9405,6.987989e-08,1.035514e-02,2,0
0.160204,3354.3295,5.741789e-08,9.366899e-03,2,1
0.160204,3633.1102,4.715305e-08,8.451833e-03,2,1
0.160204,3935.0607,3.871129e-08,7.610290e-03,2,1
0.160204,4262.1064,3.177778e-08,6.840992e-03,2,1
0.160204,4616.3332,2.608883e-08,6.141390e-03,2,1
0.160204,5000.0000,2.142451e-08,5.508001e-03,2,1
0.178571,100.0000,9.585487e-05,3.267622e-02,2,0
0.178571,108.3111,8.197713e-05,3.269546e-02,2,0
0.178571,117.3129,7.009745e-05,3.271444e-02,2,0
0.178571,127.0628,5.993088e-05,3.273283e-02,2,0
0.178571,137.6231,5.123238e-05,3.275019e-02,2,0
0.178571,149.0611,4.379145e-05,3.276600e-02,2,0
0.178571,161.4497,3.742734e-05,3.277964e-02,2,0
0.178571,174.8679,3.198500e-05,3.279031e-02,2,0
0.178571,189.4013,2.733146e-05,3.279710e-02,2,0
0.178571,205.1425,2.335275e-05,3.279887e-02,2,0
0.178571,222.1921,1.995125e-05,3.279429e-02,2,0
0.178571,240.6586,1.704337e-05,3.278177e-02,2,0
0.178571,260.6599,1.455754e-05,3.275943e-02,2,0
0.178571,282.3236,1.243255e-05,3.272508e-02,2,0
0.178571,305.7877,1.061600e-05,3.267614e-02,2,0
0.178571,331.2019,9.063088e-06,3.260964e-02,2,0
0.178571,358.7284,7.735523e-06,3.252215e-02,2,0
0.178571,388.5425,6.600558e-06,3.240977e-02,2,0
0.178571,420.8346,5.630209e-06,3.226809e-02,2,0
0.178571,455.8105,4.800566e-06,3.209218e-02,2,0
0.178571,493.6932,4.091200e-06,3.187662e-02,2,0
0.178571,534.7244,3.484663e-06,3.161550e-02,2,0
0.178571,579.1657,2.966053e-06,3.130258e-02,2,0
0.178571,627.3006,2.522645e-06,3.093133e-02,2,0
0.178571,679.4360,2.143574e-06,3.049519e-02,2,0
0.178571,735.9045,1.819565e-06,2.998779e-02,2,0
0.178571,797.0660,1.542698e-06,2.940329e-02,2,0
0.178571,863.3107,1.306213e-06,2.873676e-02,2,0
0.178571,935.0611,1.104333e-06,2.798462e-02,2,0
0.178571,1012.7747,9.321248e-07,2.714505e-02,2,0
0.178571,1096.9472,7.853693e-07,2.621849e-02,2,0
0.178571,1188.1153,6.604545e-07,2.520791e-02,2,0
0.178571,1286.8604,5.542848e-07,2.411910e-02,2,0
