alpha,Rx,orc_satisfied
0.325510,5000.0000,1
0.343878,100.0000,1
0.343878,108.3111,1
0.343878,117.3129,1
0.343878,127.0628,1
0.343878,137.6231,1
0.343878,149.0611,1
0.343878,161.4497,1
0.343878,174.8679,1
0.343878,189.4013,1
0.343878,205.1425,1
0.343878,222.1921,1
0.343878,240.6586,1
0.343878,260.6599,1
0.343878,282.3236,1
0.343878,305.7877,1
0.343878,331.2019,1
0.343878,358.7284,1
0.343878,388.5425,1
0.343878,420.8346,1
0.343878,455.8105,1
0.343878,493.6932,1
0.343878,534.7244,1
0.343878,579.1657,1
0.343878,627.3006,1
0.343878,679.4360,1
0.343878,735.9045,1
0.343878,797.0660,1
0.343878,863.3107,1
0.343878,935.0611,1
0.343878,1012.7747,1
0.343878,1096.9472,1
0.343878,1188.1153,1
0.343878,1286.8604,1
0.343878,1393.8123,1
0.343878,1509.6530,1
0.343878,1635.1214,1
0.343878,1771.0175,1
0.343878,1918.2081,1
0.343878,2077.6318,1
0.343878,2250.3052,1
0.343878,2437.3297,1
0.343878,2639.8980,1
0.343878,2859.3018,1
0.343878,3096.9405,1
0.343878,3354.3295,1
0.343878,3633.1102,1
0.343878,3935.0607,1
0.343878,4262.1064,1
0.343878,4616.3332,1
0.343878,5000.0000,1
0.362245,100.0000,1
0.362245,108.3111,1
0.362245,117.3129,1
0.362245,127.0628,1
0.362245,137.6231,1
0.362245,149.0611,1
0.362245,161.4497,1
0.362245,174.8679,1
0.362245,189.4013,1
0.362245,205.1425,1
0.362245,222.1921,1
0.362245,240.6586,1
0.362245,260.6599,1
0.362245,282.3236,1
0.362245,305.7877,1
0.362245,331.2019,1
0.362245,358.7284,1
0.362245,388.5425,1
0.362245,420.8346,1
0.362245,455.8105,1
0.362245,493.6932,1
0.362245,534.7244,1
0.362245,579.1657,1
0.362245,627.3006,1
0.362245,679.4360,1
0.362245,735.9045,1
0.362245,797.0660,1
0.362245,863.3107,1
0.362245,935.0611,1
0.362245,1012.7747,1
0.362245,1096.9472,1
0.362245,1188.1153,1
0.362245,1286.8604,1
0.362245,1393.8123,1
0.362245,1509.6530,1
0.362245,1635.1214,1
0.362245,1771.0175,1
0.362245,1918.2081,1
0.362245,2077.6318,1
0.362245,2250.3052,1
0.362245,2437.3297,1
0.362245,2639.8980,1
0.362245,2859.3018,1
0.362245,3096.9405,1
0.362245,3354.3295,1
0.362245,3633.1102,1
0.362245,3935.0607,1
0.362245,4262.1064,1
0.362245,4616.3332,1
0.362245,5000.0000,1
0.380612,100.0000,1
0.380612,108.3111,1
0.380612,117.3129,1
0.380612,127.0628,1
0.380612,137.6231,1
0.380612,149.0611,1
0.380612,161.4497,1
0.380612,174.8679,1
0.380612,189.4013,1
0.380612,205.1425,1
0.380612,222.1921,1
0.380612,240.6586,1
0.380612,260.6599,1
0.380612,282.3236,1
0.380612,305.7877,1
0.380612,331.2019,1
0.380612,358.7284,1
0.380612,388.5425,1
0.380612,420.8346,1
0.380612,455.8105,1
0.380612,493.6932,1
0.380612,534.7244,1
0.380612,579.1657,1
0.380612,627.3006,1
0.380612,679.4360,1
0.380612,735.9045,1
0.380612,797.0660,1
0.380612,863.3107,1
0.380612,935.0611,1
0.380612,1012.7747,1
0.380612,1096.9472,1
0.380612,1188.1153,1
0.380612,1286.8604,1
0.380612,1393.8123,1
0.380612,1509.6530,1
0.380612,1635.1214,1
0.380612,1771.0175,1
0.380612,1918.2081,1
0.380612,2077.6318,1
0.380612,2250.3052,1
0.380612,2437.3297,1
0.380612,2639.8980,1
0.380612,2859.3018,1
0.380612,3096.9405,1
0.380612,3354.3295,1
0.380612,3633.1102,1
0.380612,3935.0607,1
0.380612,4262.1064,1
0.380612,4616.3332,1
0.380612,5000.0000,1
0.398980,100.0000,1
0.398980,108.3111,1
0.398980,117.3129,1
0.398980,127.0628,1
0.398980,137.6231,1
0.398980,149.0611,1
0.398980,161.4497,1
0.398980,174.8679,1
0.398980,189.4013,1
0.398980,205.1425,1
0.398980,222.1921,1
0.398980,240.6586,1
0.398980,260.6599,1
0.398980,282.3236,1
0.398980,305.7877,1
0.398980,331.2019,1
0.398980,358.7284,1
0.398980,388.5425,1
0.398980,420.8346,1
0.398980,455.8105,1
0.398980,493.6932,1
0.398980,534.7244,1
0.398980,579.1657,1
0.398980,627.3006,1
0.398980,679.4360,1
0.398980,735.9045,1
0.398980,797.0660,1
0.398980,863.3107,1
0.398980,935.0611,1
0.398980,1012.7747,1
0.398980,1096.9472,1
0.398980,1188.1153,1
0.398980,1286.8604,1
0.398980,1393.8123,1
0.398980,1509.6530,1
0.398980,1635.1214,1
0.398980,1771.0175,1
0.398980,1918.2081,1
0.398980,2077.6318,1
0.398980,2250.3052,1
0.398980,2437.3297,1
0.398980,2639.8980,1
0.398980,2859.3018,1
0.398980,3096.9405,1
0.398980,3354.3295,1
0.398980,3633.1102,1
0.398980,3935.0607,1
0.398980,4262.1064,1
0.398980,4616.3332,1
0.398980,5000.0000,1
0.417347,100.0000,1
0.417347,108.3111,1
0.417347,117.3129,1
0.417347,127.0628,1
0.417347,137.6231,1
0.417347,149.0611,1
0.417347,161.4497,1
0.417347,174.8679,1
0.417347,189.4013,1
0.417347,205.1425,1
0.417347,222.1921,1
0.417347,240.6586,1
0.417347,260.6599,1
0.417347,282.3236,1
0.417347,305.7877,1
0.417347,331.2019,1
0.417347,358.7284,1
0.417347,388.5425,1
0.417347,420.8346,1
0.417347,455.8105,1
0.417347,493.6932,1
0.417347,534.7244,1
0.417347,579.1657,1
0.417347,627.3006,1
0.417347,679.4360,1
0.417347,735.9045,1
0.417347,797.0660,1
0.417347,863.3107,1
0.417347,935.0611,1
0.417347,1012.7747,1
0.417347,1096.9472,1
0.417347,1188.1153,1
0.417347,1286.8604,1
0.417347,1393.8123,1
0.417347,1509.6530,1
0.417347,1635.1214,1
0.417347,1771.0175,1
0.417347,1918.2081,1
0.417347,2077.6318,1
0.417347,2250.3052,1
0.417347,2437.3297,1
0.417347,2639.8980,1
0.417347,2859.3018,1
0.417347,3096.9405,1
0.417347,3354.3295,1
0.417347,3633.1102,1
0.417347,3935.0607,1
0.417347,4262.1064,1
0.417347,4616.3332,1
0.417347,5000.0000,1
0.435714,100.0000,1
0.435714,108.3111,1
0.435714,117.3129,1
0.435714,127.0628,1
0.435714,137.6231,1
0.435714,149.0611,1
0.435714,161.4497,1
0.435714,174.8679,1
0.435714,189.4013,1
0.435714,205.1425,1
0.435714,222.1921,1
0.435714,240.6586,1
0.435714,260.6599,1
0.435714,282.3236,1
0.435714,305.7877,1
0.435714,331.2019,1
0.435714,358.7284,1
0.435714,388.5425,1
0.435714,420.8346,1
0.435714,455.8105,1
0.435714,493.6932,1
0.435714,534.7244,1
0.435714,579.1657,1
0.435714,627.3006,1
0.435714,679.4360,1
0.435714,735.9045,1
0.435714,797.0660,1
0.435714,863.3107,1
0.435714,935.0611,1
0.435714,1012.7747,1
0.435714,1096.9472,1
0.435714,1188.1153,1
0.435714,1286.8604,1
0.435714,1393.8123,1
0.435714,1509.6530,1
0.435714,1635.1214,1
0.435714,1771.0175,1
0.435714,1918.2081,1
0.435714,2077.6318,1
0.435714,2250.3052,1
0.435714,2437.3297,1
0.435714,2639.8980,1
0.435714,2859.3018,1
0.435714,3096.9405,1
0.435714,3354.3295,1
0.435714,3633.1102,1
0.435714,3935.0607,1
0.435714,4262.1064,1
0.435714,4616.3332,1
0.435714,5000.0000,1
0.454082,100.0000,1
0.454082,108.3111,1
0.454082,117.3129,1
0.454082,127.0628,1
0.454082,137.6231,1
0.454082,149.0611,1
0.454082,161.4497,1
0.454082,174.8679,1
0.454082,189.4013,1
0.454082,205.1425,1
0.454082,222.1921,1
0.454082,240.6586,1
0.454082,260.6599,1
0.454082,282.3236,1
0.454082,305.7877,1
0.454082,331.2019,1
0.454082,358.7284,1
0.454082,388.5425,1
0.454082,420.8346,1
0.454082,455.8105,1
0.454082,493.6932,1
0.454082,534.7244,1
