trial,fault_bus,alpha_true,Rx_true,snr_v_db,snr_i_db,loc_err_emanuel_dft,loc_err_wang2020_dft,loc_err_emanuel_tft,loc_err_wang2020_tft,delta_dft,delta_tft
0,bus_13,0.5,100.0,20.0,30.0,71.19889701437768,30.64698836866222,99.98,81.36638327858728,-40.55190864571546,-18.613616721412725
0,bus_13,0.5,100.0,20.0,40.0,65.17995789053916,26.456966343656816,99.98,54.96644550299806,-38.72299154688234,-45.01355449700194
0,bus_13,0.5,100.0,20.0,inf,60.9965533368839,26.485870392964205,95.78669043000316,85.61789733114003,-34.51068294391969,-10.168793098863134
0,bus_13,0.5,100.0,30.0,30.0,63.01207747008507,67.03113058808403,98.81366722789326,95.96749759072455,4.019053117998958,-2.846169637168714
0,bus_13,0.5,100.0,30.0,40.0,65.18038017692633,63.30628186035416,99.98,99.53860053454635,-1.874098316572173,-0.4413994654536566
0,bus_13,0.5,100.0,30.0,inf,63.32289111124507,61.013952584791866,99.98,99.98,-2.308938526453204,0.0
0,bus_13,0.5,100.0,40.0,30.0,65.11972148339513,22.617680787943595,99.76188095292883,62.965325289031696,-42.50204069545153,-36.79655566389714
0,bus_13,0.5,100.0,40.0,40.0,63.39772656789765,14.542235552792803,99.98,59.15847658244755,-48.855491015104846,-40.821523417552456
0,bus_13,0.5,100.0,40.0,inf,65.03232652917659,26.57678601604535,99.98,96.11811216573093,-38.45554051313124,-3.8618878342690692
0,bus_13,0.5,100.0,inf,30.0,67.36244239382121,65.33508931141851,99.90655390948449,99.08917887324282,-2.0273530824026977,-0.8173750362416712
0,bus_13,0.5,100.0,inf,40.0,63.394996825496364,36.95790224997187,99.91565188971686,81.25454685101577,-26.43709457552449,-18.66110503870108
0,bus_13,0.5,100.0,inf,inf,61.9075510491642,63.622267958466736,99.98,88.19713607983162,1.7147169093025383,-11.782863920168381
0,bus_13,0.5,500.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,500.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,1000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_13,0.5,2000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
