trial,alpha_true,Rx_true,snr_i_db,distortion_index,H_true_real,H_true_imag,H_dft_real,H_dft_imag,H_tft_real,H_tft_imag,bias_dft_pct,bias_tft_pct
102,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005263962214371582,0.0004077771244931384,0.0004840590843975952,0.0003606791990846357,8.33087690645692,3.276393324560007
103,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005280598425380663,0.00040852683088747507,0.0004842882944693716,0.0003611704345092988,8.556637439272592,3.2390379344101703
104,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005302081248135294,0.00041067352523631453,0.0004803526780562638,0.0003556001989942355,9.022240678739031,3.9710785309420222
105,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005249467693690082,0.000409111502515444,0.00047999431020068217,0.0003578061453662593,8.43138086716635,3.9654023328264523
106,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005291486011592952,0.00040607116420717166,0.0004829098344796573,0.00036093267122289606,8.287371220788783,3.4612253905449073
107,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000529764989884764,0.00040941755723537224,0.00048724958038910357,0.0003611840731546723,8.809689658353593,2.7616549553358465
108,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000528466260097911,0.0004096157406748067,0.0004799963387481447,0.0003544725487769793,8.743004321371844,4.070510357830446
109,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005290416174236603,0.00040893133661497474,0.00048018262470513886,0.00035674287479570393,8.686352212391203,3.961579676915339
110,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005262223682532131,0.0004087466046808134,0.0004780272658492687,0.00035633237282274826,8.460835141801562,4.315283972085906
111,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005284931300337018,0.00040967883985389267,0.00048440004033822724,0.0003617235815771235,8.754042709389582,3.2228912521920754
112,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005275322762926451,0.0004086972656539569,0.000480029973942394,0.00036039488952493276,8.543735270977452,3.9268078185688884
113,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005267016746986268,0.00041062977225235584,0.00048103028156567645,0.0003619750348573897,8.76923201453383,3.767304349766956
114,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005262659077983329,0.00041002588979469437,0.0004798955672738024,0.00035978543229509604,8.65165257199066,3.9522313194720144
115,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005279222786605832,0.00040874143948831934,0.0004785343257240891,0.0003572196326045765,8.57777856762326,4.211608326692815
116,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005261060645986303,0.00041068792856157075,0.0004858574956546128,0.00035949401046081296,8.738851913040278,2.996199302853553
117,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005260571655608527,0.00041148818696941467,0.00047908660392108376,0.00035837904281310205,8.854086836978208,4.099877139938848
118,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005283205372606624,0.0004111386072223363,0.0004805027264540443,0.0003623621650506916,8.953482180542895,3.855265402259712
119,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005291099482248236,0.00041132476408964905,0.0004806885307982729,0.00036072162894261624,9.036002545701551,3.8196278123031537
120,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005266668813854895,0.0004084110049982058,0.00048103923005858535,0.00035805049516684546,8.4419232758647,3.7932703547290503
121,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005301012165239859,0.00040986586238098984,0.00048566082499556086,0.00035284001738018284,8.898886483843398,3.2937917711875278
122,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005273527140805015,0.00041007560933704055,0.0004811899984221659,0.0003568230662644873,8.73183997066606,3.7994378717780943
123,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005257735209632257,0.000408177736302716,0.00048108628152921404,0.0003563944347308891,8.347370951604903,3.828773318424182
124,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005278584149497293,0.00040972459068034994,0.000484838378200629,0.0003601255697247732,8.71572420392486,3.153632710547037
125,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005270955429124559,0.0004070621881623735,0.0004855019630352976,0.0003581244575034923,8.27601973539217,3.079087917578705
126,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005253715022305107,0.00040972496877795774,0.0004781299703763219,0.0003617782991843617,8.549277684858856,4.233524021016848
127,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005250304595047193,0.0004087077895199164,0.0004826360815133939,0.00035837047873179504,8.376932207452096,3.5314173863498777
128,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005259472415238425,0.0004089267669581743,0.00048069224524719556,0.0003632901530229189,8.468945423699664,3.8360803792612024
129,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005270246486389561,0.00040975586529691906,0.00048428265759858604,0.00035977625207474326,8.662762548430775,3.2461474908557886
130,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005279670574950306,0.0004094197709403991,0.0004837162195298621,0.000361159585055151,8.679144876107898,3.3312535741978
131,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005257006388722938,0.00040806612430833105,0.0004851187186519602,0.00035842287298892817,8.326130384459049,3.133358610140191
132,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005271381849584707,0.0004089829939947078,0.0004786622853287709,0.00035520218555299625,8.557761083171634,4.251043978605905
133,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000529383212956096,0.00040876932274662333,0.00048560325181855335,0.0003602040258712257,8.688551995021648,3.0298760269939455
134,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005264833419963331,0.0004066882741097906,0.00047956574012158933,0.00036071196421026355,8.17851814150658,4.000648296430994
135,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005259469911921886,0.0004085803642954654,0.0004820361125793981,0.0003580174827020712,8.418037790590295,3.6346099763727837
136,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.00052646763925108,0.00040733317859899075,0.0004778507611589697,0.00035213555359603593,8.27113341059636,4.5107146086618926
137,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005275345121153288,0.00041262172375489044,0.0004870507291533782,0.0003577780517278807,9.117191067132506,2.8423183670397005
138,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005253036384060882,0.00041034752577254625,0.00048077271181636857,0.0003590872514638895,8.637258394691202,3.8185802166932903
139,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005287133584668615,0.00040744234647643684,0.0004831334631259316,0.00035379926605530546,8.44893338981136,3.6179909795244276
140,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.00052942839103108,0.00040893742611575575,0.00048155561167889037,0.0003558699538791988,8.715941397399597,3.7723263972657946
141,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005258295124960105,0.00040962074701226197,0.00048153633254601803,0.00036015958327535405,8.563402971689326,3.6852880774001293
142,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005253663343478681,0.00040976195930434665,0.0004831062016793215,0.00036080900974930864,8.554424812589799,3.4297151004229773
