t,ia,ib,ic,va,vb,vc,i_rms
0.0177,-1.0783493,2.0759758,-0.9976265,-0.96521631,0.81963273,0.14558358,2.0714187
0.0178,-1.0777689,2.0760155,-0.99824658,-0.96543163,0.82001352,0.14541811,2.0714444
0.0179,-1.0771886,2.0760552,-0.99886665,-0.96564694,0.82039431,0.14525264,2.0714701
0.018,-1.0766082,2.0760949,-0.99948672,-0.96586226,0.8207751,0.14508716,2.0714957
0.0181,-1.0760083,2.0761303,-1.000122,-0.96608119,0.82116695,0.14491424,2.0715211
0.0182,-1.0754084,2.0761656,-1.0007572,-0.96630012,0.8215588,0.14474132,2.0715466
0.0183,-1.0748085,2.0762009,-1.0013924,-0.96651906,0.82195066,0.1445684,2.0715719
0.0184,-1.0742086,2.0762363,-1.0020277,-0.96673799,0.82234251,0.14439548,2.0715971
0.0185,-1.0736087,2.0762716,-1.0026629,-0.96695692,0.82273436,0.14422256,2.0716223
0.0186,-1.0730088,2.0763069,-1.0032981,-0.96717585,0.82312622,0.14404964,2.0716474
0.0187,-1.0724089,2.0763423,-1.0039334,-0.96739479,0.82351807,0.14387672,2.0716724
0.0188,-1.071809,2.0763776,-1.0045686,-0.96761372,0.82390992,0.14370379,2.0716973
0.0189,-1.0712091,2.0764129,-1.0052038,-0.96783265,0.82430178,0.14353087,2.0717221
0.019,-1.0706092,2.0764483,-1.005839,-0.96805158,0.82469363,0.14335795,2.0717469
0.0191,-1.0699913,2.0764785,-1.0064872,-0.96827316,0.82509536,0.1431778,2.0717716
0.0192,-1.0693733,2.0765087,-1.0071353,-0.96849474,0.82549709,0.14299765,2.0717961
0.0193,-1.0687554,2.0765389,-1.0077835,-0.96871633,0.82589882,0.1428175,2.0718206
0.0194,-1.0681375,2.0765691,-1.0084316,-0.96893791,0.82630055,0.14263735,2.071845
0.0195,-1.0675195,2.0765993,-1.0090797,-0.96915949,0.82670229,0.1424572,2.0718693
0.0196,-1.0669016,2.0766295,-1.0097279,-0.96938107,0.82710402,0.14227705,2.0718935
0.0197,-1.0662837,2.0766597,-1.010376,-0.96960265,0.82750575,0.1420969,2.0719176
0.0198,-1.0656657,2.0766899,-1.0110242,-0.96982423,0.82790748,0.14191675,2.0719416
0.0199,-1.0650478,2.0767201,-1.0116723,-0.97004581,0.82830921,0.1417366,2.0719655
0.02,-1.0644298,2.0767503,-1.0123204,-0.97026739,0.82871094,0.14155645,2.0720186
0.0201,-1.0637955,2.0767745,-1.012979,-0.97049058,0.82912126,0.14136932,2.0720715
0.0202,-1.0631612,2.0767988,-1.0136376,-0.97071376,0.82953157,0.14118219,2.0721241
0.0203,-1.0625269,2.0768231,-1.0142962,-0.97093695,0.82994189,0.14099506,2.0721765
0.0204,-1.0618925,2.0768474,-1.0149548,-0.97116013,0.83035221,0.14080793,2.0722287
