trip,trip_time_ms,k_ibr,Rf,kappa_n,model,ddr
True,20.0,0.5834479401642916,0.13162806451740872,1.0231584438450736,pv_2param,0.0
True,20.0,1.2909626566828458,0.024691721539323797,1.0000000000000087,pv_2param,5.992504015901156e-17
True,20.0,1.1153587222458947,0.10754960255275409,1.0000000000000062,pv_2param,4.855672561024562e-17
True,20.0,0.45554554460202223,0.1391216012401907,1.0000000000000027,pv_2param,0.0
True,20.0,0.4512421646821018,0.14909108942226176,1.0000000000000013,pv_2param,4.956697519389737e-17
True,20.0,0.5927173670765963,0.03732366161113689,1.0107343121498054,pv_2param,6.00962993283871e-17
True,20.0,1.0476400765624923,0.17304453901107414,1.0000000000000102,pv_2param,9.339658414123401e-17
True,20.0,1.2411341216561667,0.1377874793647739,1.0262636265370753,pv_2param,7.412180727344816e-17
True,20.0,0.5242762266455294,0.10638429867090096,1.0000000000000093,pv_2param,4.9464170131103396e-17
True,20.0,1.3987583550247515,0.08267866197597576,1.0000000000000078,pv_2param,6.002947960670126e-17
True,20.0,0.8247286119477795,0.1706474385048693,1.0000000000000047,pv_2param,3.594198641359373e-17
True,20.0,1.068144726518262,0.10961146484944673,1.0000000000000009,pv_2param,1.7498937937051596e-16
True,20.0,0.3140349816995936,0.19777867884131375,1.0000000000000016,pv_2param,5.989136219643879e-17
True,20.0,0.5617621093405583,0.06913489671866542,1.000000000000004,pv_2param,7.127639216758691e-17
True,20.0,1.3866749053131142,0.0902546294674693,1.000000000000011,pv_2param,0.0
True,20.0,0.31183435674148047,0.04472525471291782,1.0000000000000018,pv_2param,5.484253744086331e-17
True,20.0,1.0519085961768515,0.04660419977677628,1.0000000000000044,pv_2param,9.124549860219047e-17
True,20.0,1.3477574813198956,0.03216329379841931,1.0000000000000067,pv_2param,0.0
True,20.0,1.3998817458677564,0.1731451763112748,1.000000000000005,pv_2param,9.284618495514174e-17
True,20.0,0.6927060019442577,0.05949516112508049,1.035221259911696,pv_2param,1.2556919331234762e-16
True,20.0,0.7761489161468982,0.05815635904060071,1.0000000000000069,pv_2param,5.683118275778514e-17
True,20.0,0.7885482516111637,0.15246329797261887,1.0000000000000064,pv_2param,0.0
True,20.0,0.8351415100937971,0.09766606484479873,1.0000000000000049,pv_2param,3.068035427934144e-17
True,20.0,0.7245530572034256,0.09202197600517417,1.0000000000000118,pv_2param,1.0792984284745236e-16
True,20.0,1.1167133647751326,0.17833658693905258,1.0000000000000013,pv_2param,1.1185812040471027e-16
True,20.0,1.071868645404766,0.09584795196088956,1.0000000000000113,pv_2param,4.07695721017897e-17
True,20.0,1.135669942070542,0.06556328708744329,1.0000000000000009,pv_2param,3.9070558703788304e-17
True,20.0,0.4526453736783564,0.16523026388866469,1.000000000000003,pv_2param,6.514105680646491e-17
True,20.0,0.9353757850282316,0.13420057798707183,1.0445367966880612,pv_2param,2.7299485930576462e-17
True,20.0,1.2554304473468416,0.17758515034728342,1.000000000000009,pv_2param,0.0
True,20.0,0.7936651161673911,0.1568117041621383,1.0000000000000009,pv_2param,0.0
True,20.0,1.3303966533990446,0.06458176261071998,1.0000000000000209,pv_2param,0.0
True,20.0,1.1294647827817685,0.1175944180807017,1.0000000000000024,pv_2param,8.813282522097327e-17
True,20.0,1.2831605761586578,0.04077999201883323,1.000000000000004,pv_2param,1.3440235311730986e-16
True,20.0,0.821890579875157,0.11012890884364407,1.000000000000001,pv_2param,7.127063134292942e-17
True,20.0,1.136068276570088,0.19195440319739077,1.0000000000000053,pv_2param,6.949348263285831e-17
True,20.0,0.8650178787287177,0.08947409504735991,1.0000000000000029,pv_2param,0.0
True,20.0,0.8221493435566749,0.1648625094509298,1.0000000000000082,pv_2param,6.810251377557512e-17
True,20.0,1.4306838744122343,0.13674915938559704,1.0000000000000024,pv_2param,4.555886383598564e-17
True,20.0,1.1399777743375197,0.13701847098873804,1.0000000000000013,pv_2param,0.0
True,20.0,0.5329607132859446,0.016255969960312977,1.0662045543977472,pv_2param,0.0
True,20.0,0.9457150781218371,0.09779962346564733,1.054315972196339,pv_2param,5.759308840962634e-17
True,20.0,0.624216094797932,0.08007245667587284,1.0126012240006539,pv_2param,0.0
True,20.0,0.8066130080932652,0.1912139260679416,1.0000000000000078,pv_2param,2.4688309170503698e-17
True,20.0,0.5550935269518451,0.13252075847759312,1.0000000000000009,pv_2param,1.1541182324569109e-16
True,20.0,1.255200244868501,0.017706988650310642,1.000000000000003,pv_2param,8.958375387618389e-17
True,20.0,0.6207825048724417,0.1330701507110304,1.015250443467919,pv_2param,1.1246590536939743e-16
True,20.0,1.4503271627882086,0.17320249778498956,1.0000000000000095,pv_2param,4.829837261941677e-17
True,20.0,0.4080130265201817,0.19102603479901023,1.043659868662337,pv_2param,7.484404531371017e-17
True,20.0,1.0365012047624464,0.10956686715761395,1.0000000000000082,pv_2param,4.50426118403518e-17
True,20.0,0.6179879310458443,0.08194432663047979,1.000000000000003,pv_2param,7.102356883248843e-17
True,20.0,0.5198054453135748,0.187287923340287,1.0000000000000007,pv_2param,0.0
True,20.0,0.5499503470114014,0.19984254609896746,1.015870037948174,pv_2param,1.644402941703382e-16
True,20.0,1.15032675487771,0.048905566303284555,1.0000000000000204,pv_2param,1.3608419584337306e-16
True,20.0,0.5482039510623384,0.07938994753465414,1.0000000000000036,pv_2param,0.0
True,20.0,1.3440290308599765,0.14149988273544142,1.0000000000000082,pv_2param,0.0
True,20.0,1.2815598886490454,0.06382987015700047,1.0000000000000024,pv_2param,5.134621122410095e-17
True,20.0,1.322492979991822,0.09233173115180311,1.0000000000000029,pv_2param,4.0889199432842196e-17
True,20.0,0.8648203424728855,0.11041248778143918,1.0000000000000067,pv_2param,0.0
True,20.0,0.3216069210474746,0.10131683178270615,1.0000000000000007,pv_2param,0.0
True,20.0,0.8739146347340194,0.016377870460439103,1.0000000000000229,pv_2param,0.0
True,20.0,1.0213170193333378,0.12918976661609136,1.000000000000008,pv_2param,0.0
True,20.0,0.44892693900507663,0.07163751832351906,1.037874082361931,pv_2param,4.629469245349189e-17
True,20.0,0.6527517276487169,0.10679622232750077,1.000048754049884,pv_2param,0.0
True,20.0,0.38219091484089773,0.058127150984572974,1.0000000000000036,pv_2param,1.392998819713377e-16
True,20.0,1.4230447409203157,0.188449635044904,1.000000000000003,pv_2param,9.082722161162403e-17
True,20.0,1.3017172512679696,0.16224539293269488,1.0000000000000075,pv_2param,0.0
True,20.0,1.160090093878146,0.02471683145275019,1.0000000000000047,pv_2param,6.048471849079733e-17
