t,ia,ib,ic,va,vb,vc,i_rms
0.0173,-0.73235123,0.037928363,0.69442287,-0.75011107,-0.19765734,0.94776841,0.61072764
0.0174,-0.72008432,0.012035084,0.70804924,-0.72896863,-0.22835087,0.9573195,0.60898088
0.0175,-0.70710678,-0.013870071,0.72097685,-0.70710678,-0.25881905,0.96592583,0.60724926
0.0176,-0.69343141,-0.039761538,0.73319295,-0.68454711,-0.2890318,0.9735789,0.60553881
0.0177,-0.67907171,-0.065613765,0.74468547,-0.66131187,-0.31895931,0.98027117,0.60385549
0.0178,-0.66404184,-0.09140124,0.75544308,-0.63742399,-0.34857205,0.98599604,0.60220513
0.0179,-0.64835665,-0.11709851,0.76545516,-0.61290705,-0.37784079,0.99074784,0.60059343
0.018,-0.6320316,-0.14268022,0.77471182,-0.58778525,-0.40673664,0.9945219,0.59902592
0.0181,-0.61508282,-0.16812113,0.78320394,-0.56208338,-0.4352311,0.99731448,0.59750795
0.0182,-0.59752702,-0.19339611,0.79092313,-0.53582679,-0.46329604,0.99912283,0.59604465
0.0183,-0.57938154,-0.21848024,0.79786178,-0.50904142,-0.49090375,0.99994517,0.59559639
0.0184,-0.56066428,-0.24334876,0.80401303,-0.48175367,-0.51802701,0.99978068,0.59541308
0.0185,-0.5413937,-0.26797711,0.80937082,-0.4539905,-0.54463904,0.99862953,0.59513576
0.0186,-0.52158884,-0.29234101,0.81392986,-0.42577929,-0.57071357,0.99649286,0.59476665
0.0187,-0.50126924,-0.3164164,0.81768564,-0.39714789,-0.59622487,0.99337277,0.59430824
0.0188,-0.48045494,-0.34017953,0.82063447,-0.36812455,-0.62114778,0.98927233,0.59376329
0.0189,-0.45916649,-0.36360694,0.82277343,-0.33873792,-0.64545769,0.98419561,0.59313485
0.019,-0.4374249,-0.38667552,0.82410042,-0.30901699,-0.66913061,0.9781476,0.5924262
0.0191,-0.41525162,-0.40936249,0.82461412,-0.27899111,-0.69214317,0.97113428,0.59164088
0.0192,-0.39266854,-0.43164548,0.82431402,-0.24868989,-0.71447268,0.96316257,0.59078267
0.0193,-0.36969795,-0.45350248,0.82320042,-0.21814324,-0.73609709,0.95424033,0.58985556
0.0194,-0.3463625,-0.47491192,0.82127443,-0.18738131,-0.75699506,0.94437637,0.58886378
0.0195,-0.32268524,-0.49585269,0.81853793,-0.15643447,-0.77714596,0.93358043,0.58781172
0.0196,-0.29868953,-0.51630411,0.81499364,-0.12533323,-0.79652992,0.92186315,0.58670398
